CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;CODASC;NOMEASC;TIPOASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;1;Centro Storico;Circoscrizione;9690;4275;5415;4095;4062;246;1063;224;1907;2033;113;145;77;326;326;367;447;434;495;590;646;645;745;632;627;691;551;591;1577;170;153;179;207;207;244;293;318;314;348;295;290;290;240;230;497;9305;3218;3270;1341;966;451;59;4080;1470;1510;598;314;181;7;3993;3451;311;2107;1822;161;4678;1666;792;866;396;653;337;3698;384;2367;911;710;274;254;373;83;118;131;25;179;100;15;416;0;0;710;4410;1078;13;1078;0;491096;883;3040;542;4465;9605;1821;1137;756;559;158;34;216;1742;1707;1484;223;426;835;223;25;400;390;412;156;70;16;6;9;122;397;466;499;226;280;430;374;139;35;6834;332;787;327;38
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;2;Pineta Zerbi-Tremulini-Eremo;Circoscrizione;12124;5530;6594;5008;5333;319;1224;240;2459;2662;146;185;78;439;391;483;556;700;678;757;793;833;895;794;758;814;740;736;1757;222;214;247;270;346;361;392;374;372;413;358;323;394;314;302;628;11612;2984;4415;2038;1489;570;116;5268;1308;2099;1030;540;261;30;4850;3928;538;2599;2143;275;5961;2248;1170;1042;473;890;456;4501;441;2859;1289;507;171;181;284;42;75;91;5;245;118;12;132;0;0;507;5213;1204;12;1204;0;551033;963;3689;610;5262;12027;1833;1432;956;800;193;48;297;1768;1714;1510;204;359;952;199;17;327;311;296;325;162;52;10;10;212;447;331;520;366;265;364;299;156;60;7116;403;713;306;88
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;3;Santa Caterina-San Brunello Vito;Circoscrizione;9382;4391;4991;3920;4226;221;859;156;1983;2133;91;135;49;361;332;384;496;507;512;591;681;654;665;657;592;672;559;522;1197;175;176;183;245;261;258;294;326;315;328;327;266;303;262;218;454;8967;1859;3304;1771;1392;538;103;4188;813;1660;929;504;232;50;3716;2973;402;2037;1670;203;4589;1820;1015;809;374;688;383;3589;350;2077;1035;301;130;90;178;33;43;73;14;125;106;4;65;1;0;301;3870;1374;10;1373;1;396705;884;2545;476;3905;9372;1215;1065;762;638;182;43;279;1450;1408;1286;122;460;575;251;7;218;346;237;291;123;45;13;6;247;444;215;380;442;224;249;181;145;45;5420;151;426;560;149
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;4;Trabocchetto-Condera-Spirito Santo;Circoscrizione;17374;8282;9092;7491;8080;383;1110;310;3764;4054;160;207;97;796;791;916;1044;1090;1046;1170;1272;1336;1427;1227;1156;1101;769;769;1464;418;405;465;529;547;522;554;603;616;656;562;561;542;368;369;565;16420;3059;6179;3620;2327;1058;177;7786;1315;3040;1957;941;467;66;7304;5816;835;3991;3271;412;7567;3003;1657;1637;745;1214;657;7554;610;3059;1570;946;385;348;523;75;174;188;23;358;260;15;313;0;0;946;6561;1832;32;1831;1;707217;1325;4348;957;6630;17224;1735;1645;1410;1358;387;95;602;3083;2961;2677;284;456;2211;10;47;309;365;613;676;391;153;82;41;611;768;527;771;1052;558;598;226;196;47;8863;403;1315;731;228
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;5;Ferrovieri-Stadio-Gebbione;Circoscrizione;16723;7763;8960;6962;7388;389;1632;352;3532;3690;171;264;106;611;666;702;795;985;1019;1055;1107;1179;1198;1164;1110;1111;949;930;2142;312;360;337;395;502;505;524;514;570;574;534;500;490;418;437;791;15989;2551;6127;3454;2674;1008;175;7379;1058;3038;1810;1000;413;60;6585;5074;839;3601;2846;428;8159;3153;2013;1247;567;1195;653;6226;527;3704;1880;1013;384;381;536;96;180;181;23;374;220;13;406;0;0;1013;6779;1155;31;1154;1;675639;2256;3873;720;6849;16705;1937;1995;1390;1130;317;80;503;1642;1595;1309;286;234;980;95;4;175;220;370;389;98;18;21;14;167;216;225;701;258;135;239;330;224;123;8833;208;702;287;112
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;6;Sbarre;Circoscrizione;18864;8855;10009;8115;8504;420;1455;370;4115;4246;165;224;105;801;878;924;1053;1157;1108;1226;1311;1445;1474;1274;1212;1149;1006;967;1879;417;448;481;537;552;590;565;608;668;707;573;560;546;460;417;726;17885;3230;6899;3816;2618;1145;177;8344;1376;3420;2004;983;498;63;7519;5965;863;4014;3278;415;8742;3495;1958;1696;800;1389;809;7681;642;3699;1847;1123;447;431;575;117;204;205;38;391;280;14;435;3;0;1123;7301;3228;16;3226;2;757632;2444;4280;631;7355;18805;1976;1883;1613;1365;410;108;714;1908;1813;1626;187;375;1087;164;41;296;253;215;373;246;116;65;21;235;288;257;846;284;212;333;336;313;148;12599;339;695;442;150
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;7;San Giorgio-Modena-San Sperato;Circoscrizione;15388;7508;7880;6749;7211;326;902;200;3505;3629;138;171;65;743;792;802;932;1024;1097;1094;1121;1183;1219;1097;1036;946;688;609;1005;394;412;417;492;511;560;525;539;544;603;490;502;474;342;278;425;14508;2047;5444;3547;2200;1059;211;7042;817;2778;1905;963;493;86;6427;4893;832;3587;2828;424;6624;2698;1644;1388;641;1099;688;6471;563;2493;1337;594;293;229;308;57;122;143;28;256;177;11;150;0;0;594;5563;928;26;926;2;558568;1757;3120;740;5617;15337;1234;1398;1282;1246;332;125;817;1886;1782;1530;252;371;883;276;11;199;332;277;331;233;84;29;34;189;306;343;692;330;259;408;193;299;41;7504;262;624;526;118
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;8;Catona-Salice-Rosalì-Villa San Giuseppe;Circoscrizione;14004;6841;7163;6207;6455;225;935;182;3266;3243;92;185;55;682;711;775;839;871;904;1029;1062;1039;1012;907;873;854;671;621;1154;331;374;408;414;474;448;490;546;506;456;442;409;422;326;325;470;13178;1597;4617;3257;2440;1002;265;6430;631;2420;1766;1058;450;105;5219;3872;746;3046;2397;397;6617;2682;1685;1154;522;1191;761;5035;747;2587;1358;645;304;268;348;29;141;151;12;451;157;11;26;0;0;645;5123;2050;24;2050;0;547275;1080;3238;873;5191;13976;1310;1249;1063;1091;351;127;860;4826;4358;3482;876;1211;1748;523;339;640;623;622;550;413;156;108;31;1023;1338;575;546;1838;776;534;175;151;8;8169;514;1414;1074;480
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;9;Gallico-Sambatello;Circoscrizione;11408;5644;5764;4996;5322;210;738;142;2692;2674;95;136;47;636;608;632;669;676;745;840;916;925;829;737;639;694;504;470;888;349;316;345;346;349;363;412;471;467;392;351;307;333;253;238;352;10649;1461;3864;2562;1789;849;124;5228;617;1936;1434;798;394;49;4533;3493;596;2638;2113;337;4999;1996;1243;1009;471;843;500;4660;483;1904;1002;441;203;170;245;26;78;114;11;279;98;10;53;1;0;441;4329;2370;11;2370;0;450915;737;2778;857;4372;11388;1174;1042;926;887;269;74;459;3738;3506;2919;587;1149;1378;392;10;555;525;566;526;382;203;81;71;872;1068;494;485;1543;638;441;181;99;17;6970;341;972;1207;399
18;Calabria;80;Reggio di Calabria;63;Reggio di Calabria;80063;10;Archi;Circoscrizione;9150;4394;4756;3896;4225;195;689;145;2058;2098;88;99;51;393;391;467;478;532;547;687;737;721;654;615;498;595;565;496;774;198;205;240;233;271;280;350;343;370;311;317;212;259;251;250;304;8672;1156;2623;2321;1700;692;180;4150;491;1338;1259;715;275;72;3499;2635;442;2002;1568;249;4400;1749;1085;676;298;899;522;3442;289;1740;897;245;106;95;130;20;44;59;3;94;36;4;111;0;0;245;3452;1393;5;1392;1;351478;1578;1507;393;3478;9125;831;966;747;648;215;71;454;1687;1554;1256;298;322;775;159;41;253;241;264;280;103;26;16;32;295;317;226;418;482;218;203;186;144;23;5004;128;512;470;146
