CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;CODASC;NOMEASC;TIPOASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
12;Lazio;58;Roma;91;Roma;58091;1;I Municipio;Municipio;102709;53303;49406;47772;36999;4018;8797;5123;25387;20523;1981;3191;2221;3831;3573;3406;3758;6091;7717;7884;8108;8074;8353;7135;6573;6549;5873;5349;10435;1949;1833;1727;2023;3968;5327;5127;4508;4167;4053;3454;3064;3054;2692;2454;3903;98122;31933;32862;17719;9903;5138;567;50970;16629;17443;9812;4244;2524;318;46551;42429;2771;26320;23810;1564;45348;21474;6996;6528;3299;14144;10250;40309;1213;17680;7653;24889;16507;10584;12118;2187;7859;7784;864;6074;6627;1646;10509;26;7;24882;42655;13114;558;11796;1318;4128880;11032;26844;6880;58207;99424;36079;10630;6127;3859;1092;420;2808;8447;8421;5393;3028;4637;486;270;3889;845;357;138;78;76;10;0;0;230;440;798;3925;290;294;664;1362;1430;1353;67360;1053;3134;979;227
12;Lazio;58;Roma;91;Roma;58091;2;II Municipio;Municipio;107454;47281;60173;46839;43122;3457;9585;4451;22123;20958;1347;1578;1275;4476;4624;4684;4775;4545;4720;5453;7278;8542;9002;8051;7383;7107;6315;6375;14124;2293;2318;2468;2443;2251;2177;2431;3163;3683;4025;3468;3249;3095;2726;2682;4809;102068;40279;33423;14942;8013;5204;207;44548;19193;13430;6445;3099;2324;57;49581;46602;2142;24622;23285;924;44089;15580;8116;9075;4428;4973;2193;51663;1275;21925;8742;9522;3085;2143;5723;1656;958;1677;450;3247;561;1690;4012;12;0;9522;50477;5681;184;5587;94;5730044;7325;37168;8204;52697;106544;24442;12642;8010;5754;1448;401;2532;5563;5515;3551;1964;1603;1786;162;233;1066;1702;375;148;22;2;3;0;150;85;126;3190;159;103;168;450;1116;1555;62358;1640;1612;273;26
12;Lazio;58;Roma;91;Roma;58091;3;III Municipio;Municipio;46769;20839;25930;21210;18278;1446;4134;1701;9995;8973;596;760;515;1809;1797;1772;1913;2118;2410;2748;3363;3608;3676;3322;3222;3248;2896;2704;6163;953;886;931;1012;1046;1121;1313;1499;1602;1679;1499;1443;1431;1291;1109;2024;44568;16138;14561;7201;4339;2193;136;19689;7417;6477;3250;1565;932;48;21542;20037;1077;10810;10105;497;19849;7259;3178;3935;1916;2318;1062;22625;733;10418;4191;3043;1039;775;1759;509;368;548;123;1160;302;473;1103;5;0;3043;22877;2390;76;2056;334;2182163;3586;17118;2850;23554;46264;11417;5678;3453;2256;525;225;1483;2512;2474;1534;940;586;730;218;202;515;597;110;106;2;2;0;0;94;70;105;1265;92;81;120;184;312;745;27393;241;1022;237;34
12;Lazio;58;Roma;91;Roma;58091;4;IV Municipio;Municipio;191707;88580;103127;80825;80997;6881;16308;6696;40450;40136;2793;3155;2046;8454;8113;7533;8055;8309;9142;11118;15147;16013;15817;13860;12342;12555;11656;11620;21973;4320;4198;3820;4159;4301;4505;5326;7188;7579;7424;6416;5581;5448;5176;4978;8161;181540;40834;66669;40082;23299;10037;619;83385;19122;31097;19750;8896;4337;183;87812;79626;5880;45424;41391;2829;79795;30818;16244;12700;6193;9736;4842;94602;3127;41115;19291;10396;3968;3334;5899;1163;1634;2036;298;4519;760;1522;3591;2;2;10394;86510;6968;182;6740;228;7597462;21746;59850;6817;88414;190954;33969;24228;16274;10993;2274;676;4365;7981;7866;6378;1488;1395;4882;101;40;724;979;1576;1767;734;299;184;75;473;1011;961;3933;574;662;826;978;1428;1910;95172;1451;3947;874;106
12;Lazio;58;Roma;91;Roma;58091;5;V Municipio;Municipio;167822;79594;88228;70602;73278;6403;12697;4842;36170;36628;2656;2494;1646;7000;7100;7476;7514;8287;8926;10052;12774;13370;14237;12328;11412;11672;9952;9639;16083;3601;3721;3858;3829;4226;4563;4862;6107;6374;6792;5675;5389;5327;4612;4340;6318;159381;23881;56266;42423;26206;9740;865;75219;10827;27576;22078;10371;4129;238;76462;68281;5586;40620;36553;2750;69784;27794;16071;11076;5321;9493;5055;84018;3153;33144;16907;8736;3743;3202;4742;792;1577;1900;266;4320;839;1140;2407;3;27;8709;72001;4076;242;3564;512;6128580;20823;47677;5087;73588;167247;25006;20551;14688;10569;2129;645;4154;8295;8094;5353;2741;1661;2739;953;25;200;1414;1326;875;778;397;180;158;1000;1146;1103;2104;1129;680;897;709;634;1304;77440;1533;2929;713;178
12;Lazio;58;Roma;91;Roma;58091;6;VI Municipio;Municipio;113221;53035;60186;46800;49084;3466;10733;3138;23896;24780;1468;1821;1070;4491;4351;4555;4656;5101;5936;7064;8565;9127;9592;7940;6895;6632;6040;6989;15287;2352;2154;2344;2444;2626;2989;3560;4251;4405;4645;3877;3207;2998;2662;2873;5648;107859;15701;37293;27804;19821;6595;645;50243;7076;18484;14490;7411;2585;197;50291;45412;3367;27191;24736;1698;49533;18994;11727;6831;3244;6152;3254;54449;1628;24823;12168;12709;6201;5235;6605;869;2611;3284;306;3379;961;1160;7197;10;2;12707;51470;2905;220;2804;101;4137505;10778;37882;3866;52527;112897;20455;14455;9354;6471;1355;437;2811;5225;5076;4110;966;2397;1335;378;126;2022;1009;541;248;103;44;12;5;1048;818;444;1800;1046;487;449;564;408;1156;54938;1350;2211;489;60
12;Lazio;58;Roma;91;Roma;58091;7;VII Municipio;Municipio;113099;53594;59505;48201;48574;3737;9368;3219;24832;24399;1555;1694;1114;5075;4968;4933;5280;5579;6237;7499;8950;9370;9815;8485;7120;6393;5272;5880;12243;2625;2582;2502;2703;2798;3101;3796;4394;4519;4715;4059;3432;3039;2314;2447;4568;107005;11983;37007;30298;19850;7194;673;50454;5403;18157;16032;7668;2978;216;51651;46084;3860;28239;25439;1998;46472;17646;12228;7140;3356;6588;3578;56404;1848;20516;10393;11497;5545;4674;6147;676;2332;2974;239;4579;1910;1284;3722;2;0;11497;48445;4842;314;4815;27;3654044;12421;32939;4482;49847;112643;17607;13502;9732;6967;1517;522;3383;7510;7411;5666;1745;2095;3125;446;21;360;1936;1260;1397;573;72;33;14;1000;980;859;2827;915;575;769;1035;1510;862;54353;2117;2793;731;25
12;Lazio;58;Roma;91;Roma;58091;8;VIII Municipio;Municipio;226338;112603;113735;99498;101043;7098;13304;5395;53242;51401;3159;2800;2001;13248;11778;10679;10901;12606;15116;18760;21210;19717;18717;15256;12855;11744;9308;9129;15314;6910;5945;5610;5677;6575;7940;9705;10886;9975;9214;7387;6287;5690;4427;4154;6221;210592;17835;69668;69541;36152;15804;1592;104428;7880;34844;38407;15867;6877;553;107911;92001;9003;62279;53407;4679;82722;31859;25644;12724;6020;13540;8107;110823;6993;30814;16954;29784;16132;13272;15305;1207;7243;8363;526;16534;4092;1854;7290;11;3;29781;86056;15179;357;15030;149;7542307;21247;57807;8762;93868;225956;30629;22774;19521;15754;3721;1469;9595;23805;23289;19982;3307;8207;9135;2640;14;129;2405;3829;5285;4625;1715;1075;905;3007;5893;6774;4308;3812;3908;5684;4231;1452;895;104565;6922;10436;2036;588
12;Lazio;58;Roma;91;Roma;58091;9;IX Municipio;Municipio;116330;52176;64154;49191;48114;3759;11046;4220;23628;23802;1532;1918;1296;4612;4422;4358;4496;4679;5209;6599;8831;9453;9778;8481;7708;7483;6931;7290;16000;2371;2256;2187;2338;2303;2509;3125;4074;4420;4501;3793;3470;3280;3029;3020;5500;110817;29028;41192;21128;13626;5478;365;49323;13279;18904;9914;4784;2331;111;53606;49258;3054;26867;24799;1449;49332;18495;8696;7932;3825;5409;2511;56862;1978;27295;11878;7950;3054;2479;4540;931;1177;1637;240;3041;525;1284;3094;6;0;7950;56564;3766;151;3630;136;4801614;8938;43710;5181;57841;115611;26031;15197;9211;5934;1129;339;2172;4608;4538;3376;1162;1192;1424;760;94;1204;1211;655;154;29;5;22;2;434;318;285;2339;395;259;241;324;547;1610;62756;922;1854;552;48
12;Lazio;58;Roma;91;Roma;58091;10;X Municipio;Municipio;174086;82325;91761;71759;77448;5888;13809;5182;36812;38674;2467;2637;1735;8193;7792;7398;7545;7903;8563;10349;13951;15002;14764;12704;11247;10800;9289;9768;18818;4258;4065;3899;3876;4023;4225;4978;6605;7309;7118;5949;5257;5012;4299;4208;7244;164314;24307;63012;41312;25154;9897;632;77234;10997;30858;21242;9679;4245;213;80376;72752;5355;42801;39095;2548;70327;27302;16751;11254;5389;8460;4195;86557;6184;33862;17293;9630;4075;3571;5331;728;1737;2131;207;4577;892;1414;2742;2;3;9627;74735;4672;139;4537;135;6454255;14930;55029;6267;76226;173503;26017;20929;15293;11144;2181;662;4268;10443;10253;8028;2225;1865;5909;254;36;132;1745;1726;1201;1218;1109;548;313;1177;2565;2139;2147;1376;1558;1874;1208;818;1194;80687;2956;4724;312;36
