CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;CODASC;NOMEASC;TIPOASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
6;Friuli-Venezia Giulia;32;Trieste;6;Trieste;32006;1;Altipiano Ovest;Circoscrizione;3596;1747;1849;1330;1628;104;413;121;759;815;58;58;57;117;154;176;132;121;120;139;230;302;298;244;227;263;231;243;599;60;83;94;77;66;63;69;114;157;152;136;118;136;104;109;209;3452;492;910;1241;598;205;6;1675;232;470;634;245;92;2;1467;1369;82;817;762;47;1682;693;272;190;97;119;60;1471;314;1101;524;66;29;14;39;13;8;16;5;55;1;6;4;0;0;66;1648;176;1;176;0;153912;110;1450;120;1680;3580;633;524;265;204;41;13;83;1671;1611;1352;259;739;143;470;387;129;224;292;81;72;87;39;41;201;851;274;26;1038;207;45;61;1;0;1994;356;786;195;15
6;Friuli-Venezia Giulia;32;Trieste;6;Trieste;32006;2;Altipiano Est;Circoscrizione;10580;5209;5371;4097;4819;295;990;379;2292;2417;148;171;181;395;480;480;469;557;432;456;663;772;802;771;763;910;695;660;1275;238;249;259;251;315;246;238;299;369;406;376;353;450;353;344;463;10097;1776;3343;3196;1239;530;13;4925;815;1697;1621;522;264;6;4627;4294;253;2499;2336;128;4598;1964;681;726;367;346;170;4884;606;2845;1416;245;112;66;122;57;40;49;23;204;6;22;13;0;0;245;4373;392;17;390;2;448205;546;3595;342;4483;10187;1512;1307;862;599;157;46;294;3407;3292;2825;467;1096;945;784;507;305;436;325;372;278;255;165;182;367;1758;565;135;2164;340;106;147;65;3;4904;1515;1149;142;19
6;Friuli-Venezia Giulia;32;Trieste;6;Trieste;32006;3;Roiano-Gretta-Barcola-Cologna-Scorcola;Circoscrizione;35683;16788;18895;13709;15532;1192;3516;1734;7177;7791;603;544;673;1344;1437;1376;1322;1513;1565;1825;2479;2736;3010;2545;2317;2421;2311;2517;4965;681;731;687;681;804;815;868;1243;1312;1504;1251;1081;1159;1056;1120;1795;34060;6994;12000;9834;3640;1552;40;15956;3356;5763;4680;1397;743;17;16111;14878;1011;8526;7928;502;15415;6163;2397;2257;1137;1197;556;16852;1380;9564;4414;2333;1095;972;1070;291;499;484;112;1813;153;84;279;3;1;2332;17843;2099;10;1988;111;1534910;3211;13876;1179;18266;35553;8265;5367;2578;1627;319;110;717;5847;5650;4957;693;2396;1587;974;1756;745;920;701;281;178;171;103;102;458;2109;1001;1389;2666;658;361;458;535;279;20303;1442;2475;976;64
6;Friuli-Venezia Giulia;32;Trieste;6;Trieste;32006;4;Città Nuova-Barriera Nuova-S. Vito-Città Vecchia;Circoscrizione;33612;15448;18164;13468;13231;1118;3949;1846;7003;6643;522;611;669;1287;1177;1272;1276;1368;1597;1826;2320;2537;2708;2412;2183;2204;2047;2094;5304;670;622;651;641;689;816;949;1149;1237;1330;1146;1071;994;913;923;1647;32081;8311;10612;8304;3418;1368;68;14650;3991;4909;3855;1214;664;17;15339;14012;1058;8171;7500;525;14537;5334;2124;2048;971;1498;712;15338;1167;8867;3588;3111;1544;1248;1433;430;659;712;173;2138;200;128;642;3;0;3111;16590;2404;7;2276;128;1553504;4418;11498;1046;17097;32219;8469;4597;2214;1376;310;131;860;2904;2811;2240;571;1576;452;212;1216;346;327;209;45;50;21;15;11;26;146;256;1812;233;133;177;512;874;311;21388;684;907;592;57
6;Friuli-Venezia Giulia;32;Trieste;6;Trieste;32006;5;Barriera Vecchia-S. Giacomo;Circoscrizione;48269;22673;25596;18770;20038;1937;4817;2707;10083;9966;878;705;1041;1952;1867;1779;1805;2090;2365;2895;3930;4099;3986;3323;2924;2841;2757;3018;6638;1033;999;950;951;1090;1141;1446;1900;2018;1993;1671;1453;1306;1237;1264;2221;45928;5910;14681;16292;6677;2234;134;21445;2599;7093;7977;2635;1081;60;22791;20174;2041;12036;10663;1102;19880;7655;3239;2369;1187;1994;941;22438;1966;12278;5431;7321;3584;2978;3403;940;1537;1636;411;6096;375;265;578;7;0;7321;24797;3434;8;3384;50;1767743;7249;16559;1451;25259;47618;12231;7095;3378;1956;423;176;1124;3654;3552;3151;401;1929;678;544;1303;682;420;329;179;94;70;29;45;124;637;427;1963;752;202;198;443;980;576;28693;754;1427;881;89
6;Friuli-Venezia Giulia;32;Trieste;6;Trieste;32006;6;S. Giovanni-Chiadino-Rozzol;Circoscrizione;29587;13738;15849;10548;13295;1002;3375;1367;5571;6650;421;596;500;1110;1077;1123;1089;1078;990;1315;2071;2244;2414;2096;1838;2185;2039;2333;4585;550;548;538;563;548;501;631;1050;1072;1203;1018;881;1016;900;1008;1711;28255;3814;9248;9741;4115;1280;57;13078;1714;4448;4729;1583;577;27;12433;11380;861;6501;5960;441;13844;5601;2067;1557;772;1149;472;13292;1123;9071;4323;1186;517;455;584;147;215;245;57;973;90;51;71;1;0;1186;14375;1640;8;1624;16;1135011;3319;10571;711;14601;29090;5942;4838;2221;1304;224;72;473;4173;4021;3501;520;1839;952;710;1061;635;718;488;282;131;64;57;65;211;1569;675;1046;1811;382;211;446;455;196;15981;1127;1797;526;51
6;Friuli-Venezia Giulia;32;Trieste;6;Trieste;32006;7;Servola-Chiarbola-Valmaura-Borgo S. Sergio;Circoscrizione;40796;19200;21596;13933;18570;1481;4798;2014;7563;9347;674;796;820;1384;1432;1371;1528;1510;1560;1899;2855;2975;3073;2642;2671;3458;3115;3482;5841;716;745;679;781;740;779;956;1436;1520;1529;1300;1241;1597;1470;1570;2141;39132;2542;11166;16100;7374;1854;96;18345;1117;5364;8056;2916;847;45;16848;15190;1330;8840;8009;664;19761;8220;3036;1814;891;1651;727;16995;2022;13260;6511;1676;793;672;780;224;335;355;103;1453;81;65;72;1;4;1672;20154;2044;21;2036;8;1474098;5218;14293;957;20468;40644;8156;7014;3253;1662;294;89;583;5588;5452;4612;840;2218;1386;1008;938;469;1083;1030;554;248;119;67;104;566;2105;717;1224;2189;833;380;357;490;363;22218;1624;2491;444;53
