CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;CODASC;NOMEASC;TIPOASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
5;Veneto;23;Verona;91;Verona;23091;1;Centro Storico;Circoscrizione;29263;13239;16024;13648;10648;967;2646;1354;6613;5282;404;532;408;1170;1064;1045;1045;1255;1585;1846;2222;2364;2341;2050;1830;1777;1763;1770;4136;609;583;540;538;632;770;894;1014;1121;1137;957;825;804;753;757;1305;27890;8110;9362;5577;3485;1276;80;12514;3832;4283;2656;1115;597;31;13802;12989;628;7281;6905;288;12182;4226;2010;1866;911;1735;798;12121;2070;6571;2469;3681;1683;1480;1923;278;740;837;106;1520;661;249;1243;8;0;3681;14437;2793;34;2759;34;1476241;6273;7255;1357;15029;27754;7847;3690;1937;1152;331;72;453;4014;3909;3199;710;2341;500;358;2012;325;409;146;54;29;66;52;106;54;577;1066;1502;672;353;649;786;509;230;20180;1050;1738;366;45
5;Veneto;23;Verona;91;Verona;23091;2;Nord-Ovest;Circoscrizione;35426;16019;19407;14442;15562;839;3333;1250;7047;7711;335;516;410;1297;1453;1538;1616;1685;1551;1641;2143;2548;2657;2534;2269;2402;2241;2362;5489;686;727;777;818;857;794;796;1037;1209;1225;1178;1028;1070;984;978;1855;33854;8960;11332;7065;4817;1630;50;15190;4439;5178;3275;1532;741;25;15029;14218;625;8086;7712;278;16109;5743;2681;2833;1396;1352;549;14878;2497;9243;3747;2543;1092;992;1300;251;481;519;92;1241;344;195;761;2;0;2543;15710;1294;22;1286;8;1756777;4007;10626;1498;16131;34671;6330;4553;2622;1985;495;146;954;4436;4339;3931;408;1776;1955;200;461;639;910;764;575;158;158;130;136;56;1531;1150;1194;1548;619;642;553;347;222;18256;717;2835;354;25
5;Veneto;23;Verona;91;Verona;23091;3;Ovest;Circoscrizione;57693;27319;30374;23150;26203;1479;4771;2090;12033;13142;632;800;712;2450;2447;2691;2756;2696;2838;3326;4105;4586;4831;4162;3509;3607;3475;3517;6697;1269;1227;1400;1480;1365;1375;1619;2025;2248;2306;2053;1672;1615;1570;1533;2562;54751;7831;18964;15083;9667;3013;193;25796;3696;9384;7715;3577;1349;75;26301;24424;1450;14152;13306;660;23804;9271;4672;3729;1872;2253;1084;25796;4631;13150;6207;6843;3277;2925;3466;452;1483;1626;168;3137;1304;510;1891;1;0;6843;25399;1401;108;1398;3;2506606;7178;17055;1931;26164;57494;9664;7514;4605;3344;773;264;1746;5164;5067;4524;543;2118;2331;75;355;458;783;1118;688;432;300;212;178;217;1868;1243;1196;1514;829;704;661;379;437;28014;1807;2306;388;23
5;Veneto;23;Verona;91;Verona;23091;4;Sud-Ovest;Circoscrizione;25733;12202;13531;10057;12019;535;2275;847;5287;6070;222;328;295;1093;1119;1100;1211;1165;1387;1559;1966;2096;2053;1717;1527;1590;1566;1507;3077;524;563;568;602;581;673;782;1036;1050;1040;883;696;710;740;662;1092;24428;2331;7811;7539;5216;1433;98;11572;1084;3945;4027;1849;624;43;11665;10776;685;6451;6036;324;10756;4096;2141;1551;726;998;456;11258;2208;6066;2871;4590;2253;2017;2324;249;974;1188;91;1792;1008;255;1535;0;0;4590;11305;910;32;908;2;1060381;3299;7636;741;11676;25716;4272;3335;2129;1474;349;117;746;2632;2597;2096;501;991;1094;11;123;117;574;569;273;189;125;51;75;247;891;481;477;659;358;333;328;222;196;12559;281;1687;124;4
5;Veneto;23;Verona;91;Verona;23091;5;Sud;Circoscrizione;34852;16837;18015;14273;15869;838;2781;1091;7616;7987;369;452;413;1657;1572;1574;1579;1711;1977;2343;2804;2912;2879;2347;1973;2077;1912;1927;3608;854;828;787;800;898;980;1178;1452;1462;1431;1187;952;991;865;862;1310;32886;3482;10400;9724;7119;2039;122;15832;1580;5395;5194;2692;930;41;16552;15245;985;9172;8587;451;13497;5196;2534;2044;993;1291;618;15428;3425;7628;3522;5377;2616;2461;2651;265;1162;1346;108;2695;1308;298;1075;0;1;5376;15324;1233;45;1230;3;1461197;5129;9459;1167;15755;34748;5894;4375;2800;1975;522;189;1194;5727;5555;4381;1174;2832;1513;36;324;679;1014;917;518;320;252;190;167;463;2196;1103;619;1776;935;687;548;223;212;17500;1926;1704;663;88
5;Veneto;23;Verona;91;Verona;23091;6;Est;Circoscrizione;29928;13891;16037;11761;13514;755;2789;1109;5963;6754;312;475;387;1165;1189;1232;1258;1323;1416;1749;2136;2313;2361;2107;1841;1949;1892;1998;3999;568;589;630;620;649;707;872;1035;1152;1123;987;905;840;856;884;1474;28513;4068;9869;7696;5323;1482;75;13209;1900;4849;3978;1789;661;32;13262;12314;725;7100;6671;337;13080;5004;2314;1773;840;1160;538;12702;2294;7833;3565;3622;1677;1549;1870;203;734;877;66;1832;517;279;993;1;0;3622;13782;852;18;834;18;1312781;3659;9540;928;14127;29843;5407;4259;2433;1604;352;72;443;2404;2371;2179;192;924;1248;7;273;361;512;408;224;159;77;55;110;31;587;750;811;483;364;370;402;307;253;15322;848;1204;118;9
5;Veneto;23;Verona;91;Verona;23091;7;Sud-Est;Circoscrizione;21604;10204;11400;9221;9426;463;1822;672;4666;4755;189;354;240;904;962;973;948;999;1113;1220;1587;1722;1776;1554;1321;1283;1200;1193;2849;465;506;482;501;472;535;639;789;877;883;757;683;589;559;512;955;20498;2108;6688;5893;4512;1202;95;9632;939;3380;3109;1604;560;40;9635;9001;490;5255;4974;221;9130;3496;1599;1187;587;837;408;9215;2002;5507;2475;2397;1192;1030;1215;152;519;607;66;1013;586;165;633;0;0;2397;9271;560;12;560;0;878024;2723;6119;673;9515;21174;3396;2675;1803;1291;261;89;550;2861;2774;2475;299;1367;1098;10;618;644;384;266;197;131;104;78;53;46;1311;714;404;1003;455;379;334;198;106;10151;781;919;699;76
5;Veneto;23;Verona;91;Verona;23091;8;Nord-Est;Circoscrizione;18021;9064;8957;7728;8227;356;1255;455;4290;4163;172;238;201;795;911;863;855;930;977;1015;1350;1470;1539;1259;1230;1164;1006;940;1717;412;474;429;452;497;553;554;700;768;757;645;620;569;502;461;671;17049;2135;5490;4711;3570;1069;74;8555;1010;2898;2657;1462;492;36;8061;7635;323;4545;4353;143;7391;3204;1306;1286;668;965;586;8280;1483;3834;1910;1132;634;471;601;60;276;337;21;549;359;75;149;0;0;1132;6921;650;9;649;1;732720;1265;5242;558;7065;17217;2108;1902;1409;1282;285;79;525;3074;2950;2608;342;1402;758;448;560;272;378;418;277;324;172;125;82;197;1179;1028;204;1199;529;421;286;112;61;8073;1021;1313;249;25
5;Veneto;27;Venezia;42;Venezia;27042;1;San Marco-Castello-Sant'Elena-Cannaregio;Quartiere;34347;15732;18615;13894;14587;899;3704;1263;6984;7228;410;667;443;1227;1283;1267;1200;1336;1432;1545;2293;2513;2664;2438;2346;2446;2613;2522;5222;609;653;670;598;705;711;770;1098;1247;1279;1089;1093;1131;1175;1142;1762;32861;7022;9781;8050;6180;1740;88;14995;3347;4637;3961;2275;744;31;14636;13776;701;7893;7486;339;15934;5907;3283;1892;918;1614;740;15060;759;9145;4167;2355;860;693;1312;350;315;440;105;1120;137;196;894;8;0;2355;16837;4523;34;4464;59;1544791;4955;10781;1664;17400;33646;8088;4830;2576;1526;275;105;691;6446;6399;5164;1235;5128;4;32;4307;305;488;47;6;2;2;6;1;173;720;1776;2495;884;919;1592;1214;411;144;23460;408;3133;1567;56
5;Veneto;27;Venezia;42;Venezia;27042;2;Dorsoduro-San Polo-Santa Croce-Giudecca-Sacca-Fisola;Quartiere;23102;10668;12434;9383;9703;637;2435;944;4774;4818;272;455;349;853;860;815;779;857;953;1124;1513;1720;1822;1701;1663;1643;1675;1631;3493;431;422;441;410;449;484;536;764;819;861;778;791;760;812;681;1229;22084;5620;6118;5129;4031;1122;64;10162;2656;2880;2541;1570;495;20;9916;9323;473;5240;4950;225;10658;4134;2150;1275;656;1193;606;9777;638;6040;2811;1485;557;398;868;219;191;295;71;820;136;127;394;6;2;1483;11360;3958;29;3911;47;1108188;3954;6759;1081;11794;22496;5618;3270;1664;969;206;67;440;3822;3767;3211;556;3082;22;107;2653;239;224;38;7;10;21;7;12;73;518;1197;1423;550;556;955;705;304;141;15805;819;1776;584;32
