CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;CODASC;NOMEASC;TIPOASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
7;Liguria;10;Genova;25;Genova;10025;1;Centro Est;Circoscrizione;84587;39636;44951;35152;35742;2640;7741;3312;17902;17980;1154;1371;1229;3318;3405;3293;3453;3691;4009;4655;6006;6549;6991;6185;5703;5780;5003;5033;11513;1674;1725;1694;1745;1828;1975;2278;2986;3205;3375;3025;2760;2733;2301;2219;4113;80602;19787;27181;17590;10659;4561;824;37629;9330;12880;8666;4310;2137;306;39375;36453;2322;21221;19809;1107;35196;13322;7042;5590;2646;3745;1771;42323;1410;18819;8702;7678;3613;3104;3859;715;1524;1771;318;1607;1599;2930;1541;1;0;7678;40004;6755;129;6716;39;4034228;9405;28989;3470;41961;83332;18916;11323;6549;4070;861;242;1538;4629;4545;3674;871;2671;855;148;2248;442;602;175;148;51;3;3;2;247;452;235;2740;338;409;259;583;879;1206;51036;841;2097;603;133
7;Liguria;10;Genova;25;Genova;10025;2;Centro Ovest;Circoscrizione;64456;30296;34160;24945;28523;1925;6571;2492;13087;14229;851;1224;905;2502;2487;2477;2732;2841;2843;3423;4610;4985;5297;4667;4118;4371;3898;4228;8977;1315;1278;1293;1427;1437;1431;1629;2275;2393;2542;2279;1942;2084;1806;1852;3313;61468;6541;20658;18317;11659;3772;521;28733;2988;10007;9233;4616;1663;226;27929;25579;1777;14988;13900;810;29061;11422;6322;3392;1610;3416;1639;30398;1091;15931;7993;8862;4102;4130;4112;620;2071;1792;239;1766;939;5098;1056;1;2;8860;30060;2872;61;2863;9;2597118;6277;23027;1889;31448;64045;12920;9229;5530;3032;552;185;1189;2600;2347;1958;389;1336;479;143;824;372;378;226;109;36;2;4;7;228;392;141;1197;268;382;85;146;268;809;33419;211;1429;288;30
7;Liguria;10;Genova;25;Genova;10025;3;Bassa Val Bisagno;Circoscrizione;75489;34385;41104;28992;33034;2576;8092;2795;14614;16375;1008;1412;976;2648;2734;2824;2911;3022;3195;3784;5244;5790;6235;5302;4791;5060;4919;5340;11690;1335;1369;1404;1497;1524;1553;1761;2518;2837;2938;2475;2191;2311;2226;2321;4125;72296;8674;24749;20478;13946;3861;588;32776;3766;11612;10217;5399;1589;193;32491;29934;1984;16802;15649;875;34792;13475;6383;4077;1945;3547;1714;35871;1038;20785;9643;5553;2308;2326;2701;526;1116;1031;161;1588;410;2734;817;4;0;5553;36043;2330;105;2316;14;3026551;7888;26959;2430;37353;74322;15827;10982;6497;3355;564;128;800;3544;3524;3107;417;2142;608;357;1558;457;707;337;41;4;1;2;0;521;1260;326;1000;696;1121;158;147;147;838;38699;482;2158;430;37
7;Liguria;10;Genova;25;Genova;10025;4;Media Val Bisagno;Circoscrizione;57211;27063;30148;21537;25817;1896;5890;2071;11390;12933;808;1123;809;2141;2136;2153;2200;2325;2442;3001;4230;4594;4754;4272;3640;4046;3502;3927;7848;1104;1038;1133;1133;1200;1259;1453;2118;2248;2302;2110;1753;1914;1615;1725;2958;54647;4019;17292;17493;12239;3165;439;25764;1726;8419;9176;4962;1323;158;24870;22711;1647;13464;12536;689;25911;10324;5858;2693;1280;2520;1257;27166;830;14840;7669;3776;1678;1664;1838;274;825;760;93;1197;315;1904;359;1;0;3776;27184;2473;97;2472;1;2385525;6276;19985;1803;28064;57064;11358;8342;5131;2686;437;110;700;5248;5010;4343;667;3018;1136;189;1838;1091;601;467;194;57;41;30;24;417;1406;1449;1071;1434;1274;607;280;194;554;29749;986;2550;753;54
7;Liguria;10;Genova;25;Genova;10025;5;Val Polcevera;Circoscrizione;60597;28915;31682;23316;27196;1881;6243;1961;12498;13612;863;1137;805;2542;2462;2347;2573;2662;2914;3532;4607;4528;4884;4215;3865;4114;3598;3772;7982;1301;1291;1230;1324;1346;1448;1729;2347;2252;2442;2049;1858;1998;1683;1663;2954;57559;4087;17024;18912;12889;3983;664;27372;1810;8483;9851;5233;1734;261;25707;23143;1853;14304;13137;853;27539;10789;6666;2907;1394;2971;1410;27073;1827;14995;7844;6744;3128;3238;3008;498;1579;1360;189;2270;1204;3046;223;1;0;6744;27743;3099;116;3084;15;2257481;7834;19160;1763;28757;60247;11243;8402;5324;2983;601;204;1291;5898;4555;3882;673;2507;1229;146;1425;1137;690;335;111;119;19;5;41;252;1163;984;1483;907;907;600;470;363;635;31133;527;2798;517;40
7;Liguria;10;Genova;25;Genova;10025;6;Medio Ponente;Circoscrizione;59775;28236;31539;22437;27104;1819;6418;1997;11887;13541;769;1269;770;2281;2223;2267;2448;2584;2543;3202;4226;4687;4792;4257;3787;4036;3775;4102;8565;1130;1135;1211;1265;1335;1292;1582;2106;2294;2355;2078;1849;1876;1725;1848;3155;57032;4896;18000;17676;12267;3586;607;26850;2172;9061;8980;4903;1523;211;25174;22986;1652;13758;12829;709;27830;11002;5982;3072;1490;2696;1340;27560;933;16080;8022;5034;2340;2363;2309;362;1173;1039;128;1592;679;2262;501;0;0;5034;27622;3045;48;3030;15;2392769;5509;21221;1535;28265;59370;10648;8619;5430;2877;521;170;1081;3953;3223;2648;575;1555;1037;56;1053;645;546;319;56;4;3;0;22;190;564;421;1473;519;456;269;274;391;739;30812;458;1756;408;26
7;Liguria;10;Genova;25;Genova;10025;7;Ponente;Circoscrizione;60675;28433;32242;22626;27581;1937;6522;2009;11941;13714;795;1205;778;2169;2259;2407;2333;2427;2372;2867;4061;4658;4945;4430;4086;4510;3924;4281;8946;1094;1125;1234;1232;1250;1194;1415;1987;2257;2381;2149;1892;2160;1798;1915;3350;58059;6527;19140;16942;11755;3208;487;27121;3001;9524;8518;4522;1385;171;25182;22964;1666;13567;12542;759;28658;11413;6008;2999;1473;2798;1443;26563;1719;16853;8373;2418;989;960;1197;261;463;448;78;1139;475;675;129;0;0;2418;28745;2771;66;2767;4;2498836;7534;19944;1816;29294;60499;11274;9166;5309;2941;467;137;867;3694;3376;2895;481;1615;956;324;1069;460;500;460;239;158;6;3;0;322;815;484;1274;665;740;206;252;318;714;31631;484;2056;343;12
7;Liguria;10;Genova;25;Genova;10025;8;Medio Levante;Circoscrizione;59412;26905;32507;22405;26423;1851;6345;2388;11257;13051;710;1099;788;2133;2261;2417;2362;2319;2249;2540;3571;4235;4676;4139;3909;4265;4028;4371;9937;1123;1149;1321;1252;1169;1068;1183;1641;2017;2167;1903;1778;1942;1815;1853;3524;56847;15931;20204;11240;6531;2638;303;25554;7719;8962;5106;2476;1201;90;25243;23868;1094;13293;12720;440;27358;10019;5228;4075;2042;2303;962;28172;1016;15752;6913;2438;862;775;1255;408;371;376;115;938;118;901;480;1;0;2438;28236;4568;83;4455;113;2974957;5546;21242;2389;29177;58843;12207;8673;4723;2890;571;113;706;2805;2774;2319;455;1198;1072;49;803;549;642;259;42;2;0;22;0;174;302;222;1621;290;316;175;328;420;790;34294;623;1274;357;65
7;Liguria;10;Genova;25;Genova;10025;9;Levante;Circoscrizione;63978;29526;34452;23482;28998;2160;6766;2572;12090;14370;930;1183;953;2334;2490;2540;2477;2257;2327;2774;4252;5004;5391;4582;4041;4450;4259;4765;10035;1219;1302;1294;1249;1159;1157;1343;2040;2367;2614;2175;1878;2035;1909;2066;3719;61189;12070;21996;14483;9373;2940;327;28086;5685;10304;7079;3521;1387;110;27285;25555;1370;14525;13757;596;29329;11186;5646;3826;1860;2460;1014;30148;1280;17397;8197;1876;631;576;1025;275;245;306;80;977;153;553;190;3;0;1876;30861;5289;70;5197;92;2751690;6416;22715;2497;31628;63446;13221;9397;5397;2979;519;115;729;5589;5480;4842;638;2564;2109;169;2062;822;936;632;252;101;28;5;4;420;1246;1311;1865;1096;961;774;699;575;737;36168;1684;2610;472;76
