CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
10;Umbria;54;Perugia;2;Bastia Umbra;54002;0;3822;1910;1912;1433;1955;86;290;58;821;984;38;40;27;214;198;176;162;175;207;243;329;328;294;269;222;224;185;186;410;111;106;106;84;104;108;122;156;165;159;129;114;102;90;81;173;3577;257;1146;982;810;350;32;1784;101;592;555;378;149;9;1801;1669;93;1019;953;47;1433;568;233;195;96;129;52;1069;1048;876;416;296;132;143;135;18;68;60;4;166;95;25;9;1;0;296;1421;167;1;167;0;150000;152;1157;176;1485;3808;383;409;318;268;76;31;201;1171;1124;844;280;581;47;216;68;94;133;173;137;83;68;37;51;54;455;292;43;459;254;90;25;13;3;1616;203;497;137;7
10;Umbria;54;Perugia;2;Bastia Umbra;54002;1;17831;8596;9235;7103;8622;415;1273;418;3793;4281;187;196;139;917;942;864;794;969;1055;1286;1509;1492;1451;1182;983;988;851;892;1656;469;503;467;411;473;519;632;725;720;704;599;455;460;393;401;665;16720;1709;5741;4439;3210;1530;91;8021;680;2841;2424;1416;632;28;8641;7673;760;4657;4240;339;6467;2500;1111;1026;487;607;257;5110;4609;3723;1735;2056;932;937;960;159;472;398;62;1494;309;168;85;0;0;2056;6862;985;7;985;0;697724;1155;5161;839;7155;17810;2084;1814;1557;1255;324;121;787;3772;3696;3012;684;2280;263;469;182;126;451;671;723;450;241;109;59;74;1675;963;300;1359;912;425;152;86;78;8442;863;1893;249;7
10;Umbria;54;Perugia;13;Città di Castello;54013;0;17567;8613;8954;6774;8680;366;1464;283;3713;4375;190;209;126;799;761;751;815;853;1051;1107;1362;1277;1423;1286;1228;1159;825;907;1963;421;392;349;410;422;552;561;687;643;731;626;603;624;417;414;761;16604;1412;5632;4626;3386;1406;142;8114;570;3080;2415;1453;535;61;8524;7924;468;4771;4496;217;6732;2680;747;1034;455;545;267;7291;2034;4406;1950;1214;556;474;619;121;231;275;50;617;409;43;144;1;0;1214;6658;1892;3;1892;0;718855;646;5177;958;6781;17558;1723;1765;1559;1238;353;143;911;6178;5512;4719;793;3241;1039;439;1238;455;471;571;624;520;303;213;324;225;2576;1730;188;2523;1383;612;169;29;3;8687;2306;1897;450;66
10;Umbria;54;Perugia;13;Città di Castello;54013;1;22497;10535;11962;9015;10349;508;2075;550;4697;5124;231;283;200;890;969;994;974;1027;1207;1435;1686;1741;1705;1546;1485;1517;1181;1271;2869;444;508;512;515;511;563;700;797;852;835;721;725;736;553;536;1027;21436;3092;7896;5088;3722;1539;99;9998;1293;4012;2601;1429;630;33;10463;9445;782;5532;5068;362;9181;3539;985;1365;641;810;392;9223;2094;6021;2488;2409;1003;1026;1175;208;494;438;71;1301;823;119;165;1;0;2409;9301;1744;11;1744;0;934577;1787;6760;970;9518;22322;2990;2673;2044;1361;347;103;675;4153;4074;3529;545;1979;1349;201;1125;78;421;582;517;263;228;138;177;60;1138;1813;518;1261;886;734;429;150;69;11372;1180;2065;244;40
10;Umbria;54;Perugia;18;Foligno;54018;0;8298;4027;4271;3056;4078;174;827;163;1669;2059;96;133;70;325;330;262;332;373;400;498;602;572;610;543;564;587;495;490;1315;178;173;132;167;185;215;252;289;268;306;258;297;302;252;237;516;7914;753;2516;1992;1814;756;83;3818;330;1269;1149;789;260;21;3553;3302;178;2032;1928;74;3828;1512;673;462;215;334;146;2954;854;2359;1143;426;185;175;217;34;95;76;14;324;70;22;10;0;0;426;3274;1142;25;1141;1;362020;234;2654;495;3383;8240;1076;873;689;499;162;84;545;4485;3768;3028;740;1715;527;786;701;343;438;347;265;182;362;255;135;331;2080;598;19;2056;694;210;50;16;2;4637;1467;1331;202;28
10;Umbria;54;Perugia;18;Foligno;54018;1;18863;8868;9995;7735;8398;576;1578;576;4021;4162;260;239;186;922;834;862;868;960;1107;1261;1427;1399;1484;1294;1122;1149;986;1004;2184;475;418;452;435;484;553;615;691;689;692;610;570;530;449;441;764;17777;2578;6459;4365;2936;1326;113;8312;1087;3227;2311;1131;515;41;8481;7383;796;4618;4111;390;7764;2905;1659;1158;563;882;422;6977;2060;4065;1899;3090;1439;1521;1323;246;768;587;84;2302;554;181;53;0;0;3090;7767;873;17;859;14;778132;1948;5264;720;7932;18769;2585;2149;1623;1118;292;165;1085;4135;3892;3168;724;1875;812;481;772;233;501;486;398;174;403;130;71;71;1540;1134;423;1293;884;533;274;131;53;9250;1732;1249;180;7
10;Umbria;54;Perugia;18;Foligno;54018;2;13303;6307;6996;4905;6441;355;1261;341;2619;3221;165;188;114;609;560;527;603;622;736;828;981;939;989;908;816;876;787;784;1738;316;307;256;301;311;361;419;489;456;489;445;401;413;357;357;629;12592;1517;4638;2998;2422;941;76;5933;636;2416;1592;910;354;25;5756;5143;453;3208;2926;216;5851;2220;1268;796;368;553;232;4820;1541;3234;1604;1394;628;685;607;102;327;266;35;1072;214;59;49;0;0;1394;5348;697;11;696;1;548532;791;4134;541;5466;13281;1588;1605;1158;764;229;122;808;3437;3296;2558;738;1075;876;607;105;124;596;624;495;196;301;80;37;82;1565;732;179;1146;879;337;112;48;36;6212;1722;718;115;3
10;Umbria;54;Perugia;18;Foligno;54018;3;15581;7335;8246;5959;7579;370;1316;357;3112;3757;154;199;113;800;695;673;648;743;887;1000;1258;1201;1192;1016;996;1034;856;830;1752;391;339;366;346;357;428;473;622;588;566;484;465;494;404;384;628;14628;2148;5810;3109;2446;1063;52;6873;885;2987;1639;944;400;18;7058;6387;490;3776;3502;200;6355;2463;1298;967;491;611;247;5994;1875;3479;1709;1391;621;662;619;110;319;274;28;1056;188;96;50;1;0;1391;6176;845;18;845;0;655309;849;4865;608;6322;15501;1756;1775;1438;1019;249;85;560;3910;3811;3091;720;1403;916;772;142;320;475;569;645;255;452;141;92;87;1788;943;273;1484;916;381;207;80;23;7179;2285;711;88;7
10;Umbria;54;Perugia;24;Gubbio;54024;0;18054;8955;9099;6685;9320;287;1525;237;3759;4686;137;272;101;827;781;842;847;861;1032;1140;1333;1371;1387;1201;1093;1161;994;984;2200;417;412;428;453;445;517;577;687;647;678;611;555;594;488;492;954;17073;1200;5410;4414;3973;1864;212;8458;469;2809;2486;1874;763;57;7773;7210;422;4554;4329;180;7831;3144;1619;1123;521;644;334;7178;1613;4445;2267;1113;498;482;506;125;244;208;46;761;240;91;20;1;0;1113;6789;2906;19;2906;0;723649;535;5385;1055;6975;18004;1834;1812;1527;1287;342;173;1107;7004;6782;6110;672;3440;1174;1496;652;613;634;821;1211;1134;514;247;284;871;3350;1712;177;3612;1499;737;202;47;13;11059;2796;2785;419;110
10;Umbria;54;Perugia;24;Gubbio;54024;1;14378;6805;7573;5418;6979;308;1405;268;2873;3481;138;219;94;573;597;654;697;706;759;815;971;1089;1154;1012;927;882;784;843;1915;287;285;366;377;363;358;380;505;540;535;477;453;426;370;370;713;13694;1989;5017;2924;2502;1164;98;6457;849;2554;1581;1022;422;29;6342;5710;482;3439;3145;227;6212;2428;952;1097;529;560;267;6088;1023;3603;1618;958;372;379;460;119;181;158;33;702;91;139;26;0;0;958;5869;1540;15;1539;1;602694;1003;4197;793;5999;14261;1926;1563;1231;964;247;68;425;3265;3204;2760;444;1528;203;1029;892;78;146;232;529;457;268;76;82;108;917;1308;427;745;716;706;421;127;45;9545;1580;1102;67;11
