CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;0;3526;1929;1597;1733;1399;73;239;82;1023;762;43;53;48;146;179;188;173;311;228;267;248;313;260;228;157;188;183;152;305;72;94;86;96;211;152;166;131;174;151;124;85;92;98;71;126;3343;347;1268;991;507;212;18;1838;174;721;582;243;110;8;2040;1970;53;1272;1222;41;973;405;130;199;97;110;59;1624;328;534;241;360;239;92;241;27;56;164;19;198;117;11;34;0;0;360;1303;26;22;25;1;129193;382;790;188;1360;3185;579;271;193;188;77;52;348;553;553;541;12;541;0;0;140;46;69;58;74;50;41;31;32;50;273;195;23;200;108;134;83;14;2;1582;175;318;45;3
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;1;16769;8056;8713;8339;6072;512;1151;695;4330;3071;249;163;243;827;748;746;774;880;1024;1079;1272;1407;1402;1256;1046;938;889;785;1696;441;379;391;381;461;523;545;636;699;682;637;488;441;402;373;577;15798;3586;5663;3739;1880;846;84;7549;1768;2700;1865;742;441;33;8668;8262;325;4571;4372;163;5780;2274;924;1182;560;621;412;8538;896;3053;1276;2871;1441;1182;1411;278;619;706;116;1441;528;172;727;2;1;2870;7724;1219;5;1217;2;650933;3427;4015;520;8014;16270;3701;2030;1097;850;248;88;578;1915;1816;1203;613;902;272;29;459;247;183;100;91;33;51;26;13;53;176;259;715;150;133;218;313;245;144;9943;239;856;101;7
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;2;13177;6474;6703;5650;5636;387;996;508;3023;2886;174;158;233;744;685;620;549;561;688;854;1111;1214;1106;870;755;743;711;703;1263;351;356;317;288;280;332;443;565;655;563;459;370;346;334;329;486;12297;1110;4284;3758;2232;858;55;6056;472;2216;2015;929;410;14;6535;6116;351;3570;3357;182;4593;1880;759;616;297;384;202;6864;773;2834;1357;2044;1005;896;965;183;433;498;74;994;452;136;460;2;0;2044;5745;331;17;330;1;413911;2095;3559;269;5923;12993;2181;1719;1035;746;180;62;385;1100;1057;554;503;169;264;121;68;72;143;109;50;18;39;35;20;24;109;135;286;101;65;75;87;85;141;6103;306;214;34;0
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;3;15969;7253;8716;6240;6876;531;1629;693;3155;3410;213;233;242;671;663;636;656;642;754;823;1054;1229;1291;1034;881;1021;1140;1205;2269;372;359;301;332;294;367;395;493;562;613;473;405;432;471;556;828;15166;1721;5329;4377;2864;815;60;6804;717;2497;2137;1069;364;20;7068;6664;315;3498;3304;156;6931;2723;899;822;398;447;219;7448;689;4763;2080;2019;896;904;921;194;435;398;63;1193;326;139;359;2;0;2019;7698;411;1;408;3;533452;2877;4626;337;7840;15965;3158;2523;1205;722;167;65;423;486;481;421;60;80;232;109;5;83;122;135;34;8;16;16;2;11;31;36;343;34;18;32;71;53;213;8209;50;332;39;0
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;4;12525;5998;6527;5291;5474;355;986;419;2795;2738;158;153;154;617;675;681;682;667;567;630;880;989;1060;873;780;802;738;714;1170;320;354;353;357;362;272;324;402;488;509;409;372;350;351;335;440;11768;833;3831;3899;2339;799;67;5606;357;1882;2029;933;381;24;5606;5229;300;2986;2800;146;4946;1985;917;782;393;360;183;6411;588;2887;1398;973;423;425;443;105;203;184;36;447;237;118;171;0;0;973;5117;201;1;198;3;395222;2400;2669;98;5167;12523;1425;1665;980;808;199;90;601;394;374;313;61;81;227;5;9;9;114;34;41;45;24;11;26;11;37;69;196;25;19;20;59;59;131;5362;93;185;32;3
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;5;14327;6656;7671;6171;6136;390;1059;571;3081;3034;174;159;208;620;698;695;649;637;641;757;975;1194;1344;1063;829;855;847;827;1696;340;377;350;303;325;310;362;452;535;640;510;392;381;379;352;648;13587;2595;5349;3297;1563;756;27;6259;1169;2524;1593;572;393;8;7010;6701;252;3551;3391;132;5304;2038;702;923;438;326;161;7462;703;3353;1422;1452;587;564;742;146;267;270;50;930;153;150;219;0;0;1452;6533;472;3;470;2;527807;1652;4670;419;6741;14267;2684;1910;1108;824;168;47;303;722;711;563;148;155;263;145;44;141;170;105;21;18;36;20;8;10;29;67;457;44;47;78;106;123;165;7321;148;384;29;2
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;6;12949;6133;6816;5511;5527;367;1053;491;2935;2752;129;150;167;678;746;677;614;556;583;734;1010;1051;900;789;728;885;895;747;1356;346;372;355;314;279;302;356;481;540;451;380;324;386;404;363;480;12136;920;3878;3644;2708;905;81;5728;402;1883;1896;1102;423;22;5585;5212;295;2960;2739;180;5263;2100;964;702;350;558;229;6440;634;3039;1494;1530;670;735;683;112;351;277;42;713;405;151;258;2;1;1529;5252;168;2;168;0;393615;2553;2641;130;5324;12687;1574;1763;921;708;226;132;862;257;252;190;62;53;133;4;4;3;44;44;32;33;8;3;19;6;15;26;143;13;12;20;10;12;123;5467;58;119;13;0
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;8;Bolzano/Bozen;21008;7;13333;6226;7107;5873;5643;336;1022;459;2939;2801;142;183;161;583;618;577;585;649;679;756;848;974;1066;853;779;849;909;891;1717;289;299;299;303;338;377;370;380;465;511;382;347;382;405;381;698;12641;3350;4691;2737;1158;686;19;5886;1627;2192;1255;480;328;4;6312;6074;191;3291;3187;84;5243;2048;711;935;478;315;177;6355;605;3282;1378;1437;605;543;699;195;243;289;73;909;145;115;266;2;0;1437;5978;471;25;468;3;554962;1822;3883;589;6294;13138;2650;1768;904;705;209;58;375;993;965;703;262;310;378;15;138;103;151;123;86;34;21;26;21;16;78;161;448;97;77;112;148;137;132;6719;291;375;36;1
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;11;Bressanone/Brixen;21011;0;4809;2405;2404;2569;1914;56;218;52;1344;974;26;29;32;292;319;314;317;274;317;333;362;442;422;304;245;209;178;182;299;140;156;161;153;141;158;158;192;229;220;162;121;107;93;87;127;4445;343;1365;1527;898;307;5;2224;145;653;845;431;149;1;2499;2453;39;1382;1365;14;1385;566;217;332;147;74;44;2349;601;762;361;215;92;61;113;41;36;37;19;189;6;3;17;0;0;215;1671;189;6;189;0;169375;229;1355;115;1699;4785;478;343;279;328;183;88;557;1198;1184;1111;73;691;310;110;144;31;123;133;112;165;210;119;74;71;373;456;211;563;271;195;77;5;0;2220;717;158;214;22
4;Trentino-Alto Adige/Südtirol;21;Bolzano/Bozen;11;Bressanone/Brixen;21011;1;15868;7603;8265;7935;6061;389;991;492;4045;3030;163;158;207;803;846;911;862;858;875;995;1136;1344;1310;1111;845;852;845;747;1528;440;439;459;446;442;459;493;535;654;634;536;396;389;401;331;549;14903;2331;5010;4318;2303;902;39;7076;1158;2338;2226;893;446;15;7813;7542;215;4079;3950;103;5495;2186;825;1126;577;312;191;7210;2030;3232;1386;1688;800;705;783;200;357;363;80;1124;102;57;404;1;0;1688;6636;762;11;762;0;572743;2362;3998;333;6694;15526;2416;1762;1119;961;297;139;900;2396;2335;1968;367;668;1054;246;156;121;260;290;279;263;371;127;101;19;403;861;685;488;389;502;335;159;95;9286;1292;433;227;16
