CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
16;Puglia;71;Foggia;20;Cerignola;71020;0;2597;1383;1214;1251;1218;19;93;16;708;629;12;28;6;153;167;159;169;184;164;210;231;229;165;167;164;148;104;79;104;82;84;92;86;111;91;111;126;113;88;78;96;73;62;42;48;2405;97;469;916;565;335;23;1278;40;248;536;284;158;12;985;897;52;691;647;24;1133;434;418;149;72;253;183;991;91;313;175;226;130;94;123;9;53;71;6;186;27;2;11;0;0;226;897;335;0;335;0;84720;110;644;145;899;2597;198;207;155;219;89;31;199;1013;766;720;46;593;52;75;0;216;130;177;140;39;16;2;0;606;94;5;15;305;51;247;105;10;2;2064;51;418;244;7
16;Puglia;71;Foggia;20;Cerignola;71020;1;14418;6844;7574;6277;6677;193;1134;137;3143;3357;83;227;34;648;721;862;907;931;759;913;1051;1143;1049;792;720;772;776;775;1599;317;369;441;459;457;404;464;495;565;508;391;336;343;362;342;591;13632;1166;3132;4000;3622;1417;295;6466;565;1481;2230;1450;638;102;4762;3837;485;3110;2610;285;7425;2607;2460;983;444;1229;752;4753;530;2753;1358;431;188;196;215;20;97;86;5;386;21;4;20;0;0;431;5482;2718;15;2717;1;486716;875;4091;555;5521;14384;1543;1367;1010;1064;427;110;686;3103;3048;2812;236;2109;698;5;456;457;245;333;850;363;51;35;22;1023;1053;524;212;1002;667;590;342;145;66;9518;630;1573;579;30
16;Puglia;71;Foggia;20;Cerignola;71020;2;14101;6923;7178;6360;6844;118;697;82;3267;3423;46;158;29;889;911;971;981;1055;940;987;1179;1112;1042;794;669;675;570;470;856;422;484;482;533;508;457;473;571;564;506;390;319;345;286;219;364;13035;570;2559;4695;3532;1464;215;6414;255;1253;2581;1583;659;83;4731;3774;510;3280;2721;345;6599;2255;2783;922;428;1082;754;5115;520;1812;1032;173;66;81;81;11;33;30;3;148;12;2;11;0;0;173;4618;1248;9;1248;0;429856;507;3627;507;4641;14082;757;1043;935;1249;538;119;748;2513;2317;2161;156;1400;694;67;0;178;370;403;492;444;182;58;34;613;717;642;189;683;609;554;222;66;27;6464;370;1101;670;20
16;Puglia;71;Foggia;20;Cerignola;71020;3;12952;6438;6514;6006;6210;113;559;64;3116;3124;48;129;21;799;812;923;927;964;945;988;1073;1063;967;861;661;565;415;349;640;409;404;479;470;494;447;476;549;560;446;427;349;312;194;158;264;11972;422;2208;4436;3374;1284;248;5945;171;1059;2480;1540;590;105;4357;3370;553;3057;2482;363;6061;2089;2570;744;327;1342;941;4373;434;1405;781;286;140;118;150;18;58;74;8;228;32;2;24;0;0;286;4205;922;14;921;1;397561;723;2997;516;4236;12917;684;939;891;1107;489;126;809;2013;1895;1785;110;1347;407;31;39;214;273;480;367;219;120;50;23;695;605;329;156;741;441;360;155;50;38;5675;154;886;719;26
16;Puglia;71;Foggia;20;Cerignola;71020;4;12585;6253;6332;5678;6153;141;532;81;2993;3083;50;108;19;664;811;787;840;836;793;884;1016;1044;983;753;721;812;644;486;511;346;408;424;422;455;391;394;507;542;481;361;331;404;330;247;210;11766;1238;3400;3388;2541;1086;113;5833;546;1744;1904;1112;482;45;4551;3756;442;2922;2508;247;5772;2153;2087;1145;524;944;648;4790;653;1596;954;92;29;39;51;2;9;20;0;75;6;3;8;0;0;92;4068;589;5;588;1;422364;671;3067;351;4089;12585;567;932;887;1159;437;107;672;1078;1005;907;98;325;457;125;0;117;70;109;186;237;72;70;46;190;264;246;207;255;157;240;119;53;83;5006;210;508;182;7
16;Puglia;71;Foggia;24;Foggia;71024;0;10004;5121;4883;4681;4590;178;426;129;2529;2333;94;115;50;626;622;631;578;632;682;739;901;782;754;646;646;578;383;337;467;322;334;336;294;325;363;387;463;394;386;320;315;315;195;175;197;9232;611;2474;3263;1961;837;86;4718;262;1271;1848;925;384;28;4084;3331;402;2661;2274;224;4041;1468;1515;601;280;710;471;4511;240;1215;692;570;321;268;283;19;149;166;6;471;66;12;21;0;0;570;3456;211;69;211;0;331655;460;2308;805;3573;9950;853;819;707;774;311;109;687;2501;2396;2236;160;836;1059;341;9;521;618;382;324;228;117;31;6;1467;650;91;28;1477;292;237;119;86;25;5136;263;1250;709;14
16;Puglia;71;Foggia;24;Foggia;71024;1;14333;6759;7574;6401;6250;293;1118;271;3221;3127;125;205;81;717;791;773;739;880;938;961;1056;1067;1070;965;862;779;657;648;1430;361;408;377;365;456;463;469;514;518;513;461;419;378;293;271;493;13466;1427;3722;4149;2745;1202;221;6325;608;1864;2171;1103;513;66;5263;4291;561;3216;2737;299;6789;2397;2285;967;433;1160;729;5822;350;2377;1192;699;340;314;358;27;159;171;10;439;138;11;111;0;0;699;5674;949;13;948;1;484593;1199;4071;455;5725;14305;1803;1346;1069;1050;358;99;613;2094;2067;1811;256;1498;216;97;387;793;424;74;58;49;14;7;5;884;540;199;188;774;361;305;191;85;95;7120;38;439;1194;140
16;Puglia;71;Foggia;24;Foggia;71024;2;14721;6765;7956;6277;6522;323;1286;313;3096;3258;130;200;81;573;614;679;751;807;735;846;944;1044;1184;1062;1012;1009;789;812;1860;286;322;333;384;415;354;413;453;507;559;499;464;468;359;328;621;14032;2509;4644;3524;2297;928;130;6425;1147;2253;1791;813;380;41;5555;4814;456;3180;2842;221;7300;2644;2104;1206;570;1042;602;5972;527;2948;1427;475;188;177;259;39;74;105;9;253;66;17;139;0;0;475;6171;651;11;649;2;612704;1040;4780;421;6241;14702;2124;1589;1140;1060;256;72;460;1054;1033;757;276;372;290;95;17;112;337;168;59;42;18;4;0;214;138;107;298;198;87;96;90;119;167;7234;41;302;372;42
16;Puglia;71;Foggia;24;Foggia;71024;3;13397;6074;7323;5357;6115;270;1394;261;2612;3053;116;215;78;424;517;645;681;665;686;710;776;880;1021;948;922;916;739;780;2087;208;243;336;362;319;367;350;377;400;450;446;431;400;335;291;759;12889;2329;4527;2920;2210;792;111;5826;1045;2178;1497;788;294;24;4912;4205;419;2776;2426;223;6899;2511;1930;1146;556;844;438;5132;492;2979;1480;213;50;64;122;27;26;21;3;178;8;7;20;0;0;213;5414;371;9;371;0;561743;684;4476;325;5485;13370;1655;1475;1026;1010;272;47;287;416;414;306;108;33;255;18;0;26;59;129;71;18;2;1;0;15;27;19;245;22;8;10;36;74;156;5945;13;171;122;0
16;Puglia;71;Foggia;24;Foggia;71024;4;15402;7352;8050;6597;7030;321;1249;205;3382;3519;130;246;75;715;675;784;879;863;927;959;1032;1150;1196;1082;970;977;760;737;1696;368;340;389;447;454;477;495;517;539;569;517;473;453;337;321;656;14570;1805;4561;4135;2834;1062;173;6922;843;2296;2200;1109;425;49;5638;4750;461;3454;3022;243;7590;2801;2502;1189;568;1097;678;6217;431;2802;1492;140;40;42;76;22;17;21;2;112;19;5;4;0;0;140;5622;313;88;313;0;535448;1501;3766;491;5758;15261;1393;1494;1181;1228;368;94;585;780;767;622;145;251;318;53;0;59;280;63;40;52;7;94;27;195;129;62;236;222;64;30;72;105;129;6231;138;207;273;4
