CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
5;Veneto;23;Verona;44;Legnago;23044;0;3346;1658;1688;1429;1532;46;277;62;796;774;18;43;27;132;145;168;151;163;163;192;237;271;266;274;265;197;151;187;384;61;78;85;80;91;81;96;134;137;130;140;141;103;67;92;142;3182;188;827;1005;908;237;17;1583;92;440;572;379;94;6;1548;1452;71;903;863;30;1353;531;285;164;83;116;83;1168;555;788;358;209;104;103;91;15;46;50;8;70;133;0;6;0;0;209;1232;182;3;182;0;166584;74;1070;124;1268;3344;278;358;318;218;70;26;174;1352;1265;1067;198;1023;40;4;165;272;243;161;86;51;43;18;28;64;955;47;1;763;244;52;7;1;0;1466;313;543;185;26
5;Veneto;23;Verona;44;Legnago;23044;1;21646;10356;11290;8696;9855;481;1978;636;4680;4922;211;332;211;912;919;801;805;981;1166;1368;1584;1635;1672;1615;1465;1496;1229;1268;2730;462;455;437;430;538;598;701;817;786;841;759;707;725;552;565;983;20545;2475;6532;5685;4471;1286;96;9805;1176;3338;3066;1655;533;37;9979;9294;538;5562;5262;232;9035;3440;1695;1109;566;708;366;7539;3156;5523;2491;1331;595;602;658;71;280;288;27;649;558;30;93;1;0;1331;9157;1172;17;1170;2;1075231;1866;6700;827;9402;21406;3004;2883;1904;1253;273;85;547;7526;7347;5741;1606;5278;451;12;620;586;1654;1471;716;259;249;130;56;206;4714;684;137;3839;1106;454;202;91;49;10922;606;4624;453;58
5;Veneto;23;Verona;71;San Giovanni Lupatoto;23071;0;4110;2001;2109;1616;2057;73;268;96;852;1031;35;39;44;222;220;211;189;179;204;263;380;399;324;258;219;271;216;188;367;100;107;111;100;93;93;140;182;213;167;120;115;116;112;93;139;3854;277;1101;1258;915;287;16;1883;117;561;696;373;129;7;1974;1900;52;1109;1075;23;1483;574;271;224;114;96;52;1329;1085;892;407;244;112;109;123;12;49;57;6;142;68;13;21;0;0;244;1612;128;1;128;0;176656;261;1237;144;1642;4106;406;513;354;275;70;24;162;704;697;671;26;124;34;513;27;54;61;162;118;98;69;43;39;58;455;157;1;249;195;124;78;22;3;1829;213;443;14;1
5;Veneto;23;Verona;71;San Giovanni Lupatoto;23071;1;20038;9713;10325;7902;9581;430;1553;572;4260;4807;185;230;231;1058;964;954;855;908;1057;1379;1613;1741;1734;1377;1121;1220;1097;1066;1894;536;509;505;448;466;499;686;832;880;889;701;539;567;502;477;677;18779;1703;6038;5416;4314;1238;70;9073;792;3104;2893;1673;580;31;9521;8991;412;5287;5068;172;7541;2876;1395;1087;534;499;243;5956;5173;4560;2076;2043;987;937;1000;106;447;504;36;1178;543;91;231;0;0;2043;8225;766;18;766;0;863675;1780;6019;595;8399;19909;2427;2585;1724;1311;270;82;546;3638;3559;3275;284;844;1764;667;97;50;431;1333;576;341;215;128;104;290;2133;711;141;1335;925;531;319;108;57;9729;1033;1806;390;46
5;Veneto;23;Verona;91;Verona;23091;0;33417;16396;17021;14171;15502;696;2184;864;7521;7781;334;400;360;1568;1722;1728;1639;1644;1684;1838;2481;2810;2909;2385;2287;2152;1825;1703;3042;805;874;886;869;829;863;922;1211;1396;1431;1213;1132;1035;911;825;1194;31501;3913;10145;8713;6596;2034;100;15406;1810;5165;4745;2712;931;43;15535;14734;622;8653;8291;280;12864;5178;2445;2313;1145;1251;601;15626;3272;6855;3366;1776;793;738;914;124;356;388;49;925;380;133;338;0;0;1776;13176;859;68;858;1;1414934;2379;9886;1317;13582;32993;4148;3614;2714;2344;576;186;1219;6136;5940;5303;637;3374;1304;625;956;680;878;890;581;498;365;244;211;429;2742;1790;342;2516;1123;866;515;181;102;15206;1960;2575;710;58
5;Veneto;23;Verona;91;Verona;23091;1;13746;6258;7488;6493;4985;476;1180;612;3104;2459;193;307;195;561;529;539;490;574;692;824;1026;1108;1096;993;908;855;864;852;1835;281;286;276;240;283;324;366;456;531;532;478;408;384;387;389;637;13082;4251;4355;2422;1450;582;22;5920;2019;1969;1138;498;282;14;6506;6173;261;3435;3282;123;5611;1980;927;931;443;852;456;5774;954;2901;1064;1370;599;503;735;132;249;303;47;574;187;101;505;3;0;1370;6543;1429;15;1425;4;726158;2886;3180;676;6886;12973;3539;1670;881;587;166;43;273;2151;2089;1695;394;1258;207;230;1230;112;139;61;25;13;39;24;52;8;298;520;869;348;191;350;437;283;86;9815;548;1019;113;15
5;Veneto;23;Verona;91;Verona;23091;2;14034;6229;7805;5529;6113;332;1533;527;2725;2994;134;211;165;498;515;572;661;654;598;634;835;984;1032;1001;850;897;899;903;2501;257;281;293;348;339;299;306;390;460;465;458;371;391;401;356;814;13434;4253;4533;2534;1546;549;19;5918;2128;1978;1071;459;273;9;5912;5598;239;3131;2986;101;6537;2267;1145;1163;600;477;203;5718;956;3752;1447;1002;397;379;525;98;179;187;31;518;105;86;293;0;0;1002;6522;497;9;491;6;756431;1770;4340;609;6719;13814;2858;1893;987;759;178;44;283;1304;1276;1173;103;500;649;24;92;188;327;276;118;34;40;49;49;10;358;292;513;391;160;181;154;164;123;7524;186;900;84;3
5;Veneto;23;Verona;91;Verona;23091;3;17756;8467;9289;7062;8212;438;1425;619;3651;4165;199;226;226;752;778;847;913;830;886;1040;1332;1454;1535;1301;1042;1023;968;1042;2013;389;382;445;493;408;431;514;669;709;740;664;530;455;423;476;739;16850;2189;5923;4760;2967;955;56;7998;1042;2960;2457;1100;418;21;8268;7633;472;4497;4231;196;7111;2754;1399;1180;605;659;309;8110;1414;3873;1813;2802;1375;1208;1429;165;610;696;69;1221;549;186;846;0;0;2802;7730;437;46;435;2;745849;2167;5243;618;8028;17655;2992;2259;1431;1044;211;91;621;1624;1595;1419;176;626;777;16;103;165;293;365;187;103;88;58;57;61;543;406;409;436;281;254;208;112;128;8520;589;737;89;4
5;Veneto;23;Verona;91;Verona;23091;4;11804;5529;6275;4549;5550;251;1090;364;2385;2789;94;135;126;478;512;505;557;544;648;677;843;938;899;800;736;739;756;676;1496;229;253;256;271;282;311;352;425;466;446;411;333;323;355;300;516;11230;981;3566;3477;2497;664;45;5254;444;1807;1844;856;284;19;5204;4806;304;2862;2677;136;5105;1929;1042;712;330;462;209;5126;965;2889;1374;2046;1020;927;1020;99;466;520;34;798;442;122;684;0;0;2046;5171;454;18;453;1;483316;1448;3571;306;5325;11804;1882;1605;939;681;158;60;381;1037;1023;799;224;441;352;6;34;28;215;208;113;100;56;15;30;51;333;209;206;227;133;120;131;82;106;5852;110;642;45;2
5;Veneto;23;Verona;91;Verona;23091;5;16592;7974;8618;6756;7536;404;1382;514;3617;3797;168;199;193;775;756;778;736;815;925;1104;1351;1402;1343;1078;910;946;926;948;1799;407;400;394;362;436;466;567;681;704;675;544;432;442;411;418;635;15683;1630;4886;4657;3441;998;71;7504;728;2543;2480;1267;458;28;7831;7166;513;4361;4070;230;6452;2412;1260;927;435;612;298;7490;1465;3653;1647;3008;1491;1391;1477;140;680;750;61;1379;809;157;663;0;0;3008;7375;561;13;559;2;703934;2784;4282;506;7572;16557;2930;2071;1275;936;266;94;586;2924;2820;2036;784;1317;705;14;180;345;522;335;232;134;115;86;87;136;1044;550;306;890;389;296;243;108;110;8267;818;873;301;44
5;Veneto;23;Verona;91;Verona;23091;6;15309;7044;8265;5996;6721;426;1525;641;3014;3359;180;265;226;602;560;551;611;643;810;996;1178;1224;1160;1015;877;967;933;1050;2132;293;276;280;288;315;390;496;582;612;563;472;425;394;428;465;765;14583;1985;4911;4099;2812;732;44;6690;922;2397;2113;935;307;16;6929;6382;413;3712;3464;191;6667;2483;1197;781;347;640;285;6331;1183;4049;1821;2496;1150;1073;1288;135;500;612;38;1217;385;211;683;0;0;2496;7343;486;15;486;0;679543;2257;4798;511;7566;15255;3217;2211;1198;727;171;42;259;1294;1279;1140;139;695;443;2;215;223;281;198;93;44;33;24;29;20;336;323;461;235;164;210;247;165;119;8150;461;601;70;8
5;Veneto;23;Verona;91;Verona;23091;7;20698;9982;10716;9019;8817;456;1737;669;4717;4481;192;348;244;833;876;887;859;989;1167;1249;1585;1652;1684;1440;1221;1213;1157;1160;2726;426;463;440;451;493;610;709;836;870;839;708;630;552;535;506;914;19679;2052;6415;5702;4293;1110;107;9455;941;3305;3095;1545;519;50;9119;8493;477;5034;4754;215;8983;3619;1512;1120;574;1086;654;8483;1842;5265;2366;2665;1458;1135;1379;151;622;769;67;1104;754;170;637;0;0;2665;8747;556;14;556;0;821248;2678;5680;623;8981;19747;3258;2556;1683;1178;230;76;466;2666;2598;2277;321;1213;1050;14;579;549;378;235;188;124;96;77;51;31;1166;678;402;915;414;335;313;197;103;9638;746;829;632;70
5;Veneto;23;Verona;91;Verona;23091;11;15517;6981;8536;7155;5663;491;1466;742;3509;2823;211;225;213;609;535;506;555;681;893;1022;1196;1256;1245;1057;922;922;899;918;2301;328;297;264;298;349;446;528;558;590;605;479;417;420;366;368;668;14808;3859;5007;3155;2035;694;58;6594;1813;2314;1518;617;315;17;7296;6816;367;3846;3623;165;6571;2246;1083;935;468;883;342;6347;1116;3670;1405;2311;1084;977;1188;146;491;534;59;946;474;148;738;5;0;2311;7894;1364;19;1334;30;750083;3387;4075;681;8143;14781;4308;2020;1056;565;165;29;180;1863;1820;1504;316;1083;293;128;782;213;270;85;29;16;27;28;54;46;279;546;633;324;162;299;349;226;144;10365;502;719;253;30
5;Veneto;23;Verona;91;Verona;23091;21;16647;7558;9089;6856;7383;379;1478;551;3304;3686;141;248;179;605;705;732;744;786;727;794;983;1155;1222;1209;1082;1174;1056;1168;2505;326;339;362;363;392;374;387;501;557;566;563;490;530;451;482;875;15920;3859;5348;3401;2458;830;24;7171;1898;2527;1607;771;358;10;6960;6588;285;3779;3605;133;7645;2752;1200;1334;638;664;258;7066;1093;4447;1830;1188;529;458;604;126;219;263;47;577;146;86;377;2;0;1188;7235;737;7;735;2;779551;1804;4919;675;7398;16232;2757;2120;1273;939;236;73;480;2279;2223;2007;216;821;1165;21;268;300;390;346;374;103;90;65;71;20;723;661;603;768;333;342;323;159;82;8514;362;1474;151;20
5;Veneto;23;Verona;91;Verona;23091;31;17387;8187;9200;6994;7701;517;1500;675;3619;3859;216;276;217;714;726;781;786;793;807;949;1190;1337;1458;1219;1102;1201;1222;1134;1968;357;360;401;427;412;389;462;579;649;711;585;514;535;547;478;781;16516;2312;5598;4640;3019;881;66;7753;1081;2772;2375;1095;404;26;7717;7161;442;4127;3869;207;7449;2942;1423;1089;538;699;336;7695;1303;4238;2025;1512;718;634;759;119;332;343;43;635;365;142;369;1;0;1512;7772;422;10;422;0;755531;2324;5147;465;7936;17363;2929;2323;1365;1023;219;77;506;1219;1191;1063;128;346;695;22;52;103;210;234;164;137;68;58;37;45;414;274;330;343;159;140;163;118;140;8505;320;609;123;11
