CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
13;Abruzzo;66;L'Aquila;6;Avezzano;66006;0;2936;1406;1530;1195;1409;58;233;41;605;716;31;38;16;141;114;160;145;141;179;190;219;215;235;240;220;170;121;126;320;70;57;73;62;59;92;98;113;112;122;108;109;90;61;59;121;2776;306;852;794;603;213;8;1326;136;416;444;240;86;4;1285;1127;106;735;662;54;1236;471;250;238;89;149;88;1178;254;599;288;107;59;41;61;5;25;32;2;63;31;13;0;0;0;107;1104;485;4;484;1;121123;78;906;138;1122;2930;283;278;252;238;55;16;108;1382;1234;1023;211;356;536;131;8;87;199;158;182;119;140;102;28;258;546;216;3;586;317;107;12;1;0;1647;345;573;91;14
13;Abruzzo;66;L'Aquila;6;Avezzano;66006;1;18884;8916;9968;7786;8705;498;1461;434;3970;4376;206;230;134;864;790;842;928;1052;1074;1245;1446;1484;1562;1477;1332;1215;857;860;1856;466;394;415;467;519;517;620;686;721;735;714;658;594;383;358;669;17869;3759;6481;4101;2424;1022;82;8378;1703;3193;2100;912;440;30;8777;7665;744;4814;4293;358;7611;2827;1625;1683;776;740;385;7523;1914;3563;1636;989;394;414;489;86;188;183;23;677;150;59;103;0;0;989;7399;1652;6;1613;39;783819;1359;5545;540;7450;18777;2043;1882;1667;1466;297;95;620;3438;3239;2712;527;714;1742;256;5;255;450;521;511;446;235;149;140;316;1207;762;427;1124;656;419;270;145;98;9915;1261;1304;137;10
13;Abruzzo;66;L'Aquila;6;Avezzano;66006;2;18924;9212;9712;7872;8817;435;1451;349;4217;4446;189;229;131;989;911;879;931;1066;1195;1399;1489;1569;1540;1346;1215;1115;751;803;1726;502;452;479;477;557;608;704;732;795;779;652;587;549;358;353;628;17720;2250;6087;4872;3141;1255;115;8601;959;3067;2705;1312;515;43;8681;7485;847;5020;4452;412;7464;2759;1884;1415;648;815;477;7729;1730;3350;1590;1240;579;552;609;79;271;285;23;785;345;32;78;0;0;1240;7092;2237;10;2191;46;730891;996;5447;714;7157;18906;1770;1684;1658;1579;361;105;673;6705;6316;5049;1267;2216;2276;557;37;982;955;712;698;702;528;273;162;1316;2495;902;336;2898;1323;564;180;71;13;9584;1078;3371;557;43
13;Abruzzo;66;L'Aquila;98;Sulmona;66098;0;3189;1647;1542;1260;1601;41;229;58;704;850;25;40;28;135;145;134;165;156;180;206;262;271;272;246;220;223;137;140;297;62;80;70;88;75;87;105;140;148;149;144;109;119;75;74;122;3025;284;934;902;609;274;22;1568;122;483;538;294;121;10;1301;1113;117;752;662;63;1474;683;293;243;113;295;231;1186;192;643;335;109;45;46;54;9;23;21;1;76;2;28;3;0;0;109;1080;412;1;412;0;120570;123;845;135;1103;3029;250;242;267;263;56;25;162;1374;1260;1086;174;563;429;94;233;208;88;107;115;117;130;63;25;96;671;304;15;789;231;52;9;4;1;1526;371;616;96;3
13;Abruzzo;66;L'Aquila;98;Sulmona;66098;1;10476;4949;5527;4140;5037;227;837;235;2124;2524;89;129;83;342;379;420;426;520;661;667;758;740;744;754;839;878;673;558;1117;159;205;211;200;261;345;331;373;364;327;355;369;429;343;262;415;10060;1744;3625;2443;1635;557;56;4751;779;1850;1259;617;229;17;4495;3940;389;2416;2152;191;4840;1958;989;811;369;531;270;3779;793;2509;1303;430;187;188;213;29;96;81;10;385;2;24;18;1;0;430;4066;593;6;587;6;420961;673;3182;251;4107;10432;964;1182;987;780;156;38;243;1379;1329;1164;165;618;545;1;147;473;108;115;140;28;116;32;5;6;266;448;444;512;245;121;107;97;82;4963;159;866;134;5
13;Abruzzo;66;L'Aquila;98;Sulmona;66098;2;10610;4983;5627;4167;4955;206;999;283;2178;2467;89;150;99;355;446;446;478;516;565;567;821;793;806;727;689;799;579;596;1427;184;263;244;256;258;253;266;400;370;416;335;318;372;260;260;528;10168;1682;3625;2439;1768;605;49;4747;744;1805;1269;639;274;16;4530;4015;355;2409;2167;163;4833;1883;918;780;380;497;248;3928;745;2638;1239;667;283;292;320;55;144;122;17;600;8;39;19;1;0;667;4322;1235;6;1229;6;433556;671;3380;333;4384;10550;1351;1140;931;740;176;46;286;2547;2435;1996;439;1201;791;4;513;578;203;229;220;171;65;5;12;52;807;739;398;932;476;286;159;113;30;5716;363;1157;456;20
13;Abruzzo;67;Teramo;25;Giulianova;67025;0;2709;1322;1387;1090;1389;35;169;26;571;695;15;28;13;117;133;134;134;154;184;189;180;215;224;185;169;150;138;151;252;62;54;74;66;75;98;86;89;109;102;98;80;80;55;72;122;2568;215;721;767;585;255;25;1249;90;370;408;289;90;2;1215;1109;84;711;660;45;1110;421;229;194;89;92;46;878;466;595;285;74;27;31;38;5;10;16;1;52;3;5;14;0;0;74;911;264;3;264;0;106790;52;759;122;933;2709;167;231;211;220;69;35;222;763;725;565;160;328;216;21;24;33;137;134;112;51;59;12;3;65;423;71;6;113;342;101;4;5;0;1205;83;348;91;43
13;Abruzzo;67;Teramo;25;Giulianova;67025;1;20490;9760;10730;8073;9761;421;1782;453;4281;4882;177;263;157;832;837;899;968;985;1168;1260;1528;1613;1670;1479;1310;1288;1126;1163;2364;410;420;474;522;512;618;619;747;775;809;693;614;598;511;531;907;19482;2769;6437;4797;3779;1538;162;9262;1249;3242;2586;1551;588;46;8982;7904;858;5024;4531;403;8940;3432;1829;1433;706;928;485;6137;3339;4750;2208;936;375;346;474;116;167;165;43;730;75;78;52;1;0;936;8236;1936;14;1931;5;865924;1159;6322;882;8363;20446;2576;2169;1684;1401;381;152;971;4552;4418;3807;611;1872;1820;115;169;174;542;1141;872;524;254;113;18;382;2011;1047;367;969;1478;932;309;83;36;10662;295;3118;363;31
13;Abruzzo;67;Teramo;37;Roseto degli Abruzzi;67037;0;8402;4147;4255;3303;4243;167;590;99;1782;2149;84;100;32;389;379;401;435;493;497;554;593;704;677;599;528;518;421;401;813;191;198;210;227;244;270;274;295;350;328;298;266;257;204;198;337;7938;592;2281;2429;1715;829;92;3922;251;1179;1330;803;334;25;3777;3370;348;2195;2041;127;3456;1353;639;574;265;352;190;2374;1616;1891;885;341;161;143;169;29;77;71;13;282;12;18;29;0;0;341;3034;1628;2;1628;0;323093;205;2489;441;3135;8394;752;805;640;673;196;69;440;2828;2728;2345;383;1210;801;334;97;177;406;562;452;335;178;92;46;610;1365;345;25;783;788;586;160;26;2;5572;622;1257;443;23
13;Abruzzo;67;Teramo;37;Roseto degli Abruzzi;67037;1;16538;7999;8539;6754;7849;360;1265;310;3587;3905;156;213;138;724;768;752;826;953;994;1050;1242;1350;1329;1114;952;990;880;874;1740;365;427;379;414;486;528;532;616;661;632;529;455;458;412;414;691;15661;2087;5421;3884;2820;1345;104;7550;914;2819;2029;1179;578;31;7285;6478;653;4080;3717;293;7009;2748;1246;1339;627;823;464;5434;2380;3601;1630;1070;474;478;479;113;238;196;40;933;30;46;61;0;0;1070;6588;3731;10;3729;2;652059;818;4993;856;6667;16524;2028;1703;1317;1145;348;126;819;3608;3530;3195;335;1824;1118;253;58;169;416;689;638;440;371;271;143;513;1450;881;351;487;960;1021;472;139;116;12987;906;1873;390;26
