CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
9;Toscana;45;Massa-Carrara;3;Carrara;45003;0;6023;2907;3116;2282;2761;155;694;131;1259;1395;74;114;65;217;229;231;267;279;284;403;462;427;485;456;392;423;274;369;825;108;119;120;145;141;138;216;243;213;251;229;189;218;139;163;275;5752;335;1447;1907;1597;440;26;2769;143;685;1104;659;165;13;2405;2129;190;1504;1375;97;2941;1056;962;333;161;344;177;2035;622;1302;708;296;141;99;163;34;50;78;13;175;99;14;8;0;0;296;2573;906;5;906;0;207073;458;1854;313;2625;6022;894;725;514;367;91;34;213;2241;2089;1861;228;1555;234;72;939;262;321;114;68;79;40;11;27;192;772;681;216;913;535;302;92;17;2;3748;340;1016;472;33
9;Toscana;45;Massa-Carrara;3;Carrara;45003;2;10809;5093;5716;4453;4438;366;1137;415;2344;2218;157;240;134;463;425;444;432;410;579;697;916;907;904;750;700;593;564;608;1417;229;219;239;220;209;294;334;471;439;475;366;348;285;244;273;448;10252;1561;3478;2757;1801;615;40;4811;706;1696;1471;662;262;14;4705;4194;395;2679;2441;195;4772;1727;1221;619;293;672;376;3812;1265;2260;1037;961;484;377;503;81;190;263;31;557;279;59;66;0;0;961;4820;901;7;899;2;431508;1244;3162;483;4909;10722;1831;1311;1036;547;148;36;233;1786;1725;1534;191;1255;245;34;772;297;150;127;76;48;17;17;30;54;562;429;489;444;297;321;293;132;47;6590;289;814;406;25
9;Toscana;45;Massa-Carrara;3;Carrara;45003;3;17857;8602;9255;6887;8381;459;1653;477;3732;4211;191;303;165;692;732;736;679;806;957;1117;1382;1439;1442;1326;1251;1257;1035;1033;1973;364;386;387;318;411;517;579;693;725;729;602;614;603;511;489;674;17014;1806;5670;4897;3505;1070;66;8161;835;2805;2681;1389;434;17;7855;6988;681;4587;4158;346;7842;2878;2262;970;444;934;486;6198;2342;3676;1922;914;423;375;445;94;175;210;38;626;166;89;33;0;0;914;7115;1044;13;1043;1;692391;1418;5148;696;7262;17854;1958;2027;1773;1140;255;109;688;3889;3668;3108;560;1623;1399;86;420;378;727;607;312;286;152;134;92;343;1654;804;307;1394;846;491;225;101;51;8416;651;1679;696;82
9;Toscana;45;Massa-Carrara;3;Carrara;45003;4;13486;6447;7039;5175;6213;377;1306;415;2812;3096;158;219;162;527;522;529;533;551;649;846;1035;1103;1037;1014;860;994;845;926;1515;270;270;281;273;272;333;432;524;565;521;482;401;455;407;420;541;12852;1419;4308;3677;2642;767;39;6124;657;2136;2020;980;316;15;5722;5133;461;3296;3011;227;6186;2330;1698;790;373;758;405;4446;1789;2940;1533;856;400;328;461;67;164;210;26;577;164;75;40;0;0;856;5521;655;14;655;0;509886;1193;3957;520;5670;13477;1653;1633;1333;786;199;66;420;3000;2853;2108;745;1062;770;276;385;184;450;470;260;176;101;39;43;413;1110;405;180;992;532;267;143;80;94;6745;459;1128;470;51
9;Toscana;45;Massa-Carrara;3;Carrara;45003;5;16514;7865;8649;6459;7307;492;1684;572;3459;3631;229;316;230;609;643;628;610;678;764;954;1284;1342;1328;1220;1024;1145;1035;1114;2136;317;343;335;340;346;406;472;624;659;643;610;465;538;496;484;787;15780;2411;5705;3980;2762;862;60;7477;1130;2818;2134;999;370;26;6993;6296;561;3917;3603;251;7641;2953;2028;994;505;972;534;5323;2055;3647;1880;1024;469;359;573;92;184;258;27;627;159;165;73;0;0;1024;7305;2668;23;2665;3;685431;1460;5159;829;7448;16475;2649;2079;1517;955;208;40;257;3728;3631;3026;605;1549;1132;345;365;343;767;575;515;178;123;66;94;757;1511;459;299;1471;697;407;187;133;131;10296;727;1811;439;49
9;Toscana;45;Massa-Carrara;10;Massa;45010;0;4073;2045;2028;1666;1842;91;390;84;947;943;44;74;37;168;170;160;169;186;242;267;300;307;332;354;285;236;181;201;515;89;86;89;81;99;122;136;155;154;179;179;159;140;90;95;192;3868;223;972;1325;999;325;24;1942;94;483;779;438;135;13;1608;1368;193;1005;872;116;1967;776;574;203;91;364;207;1417;318;826;468;165;81;68;86;11;36;38;7;124;23;14;3;1;0;165;1662;817;8;817;0;130294;137;1255;315;1707;3994;573;441;347;261;65;20;129;1991;1797;1636;161;1128;430;78;341;421;308;214;135;121;72;19;5;164;765;570;137;1065;371;169;29;1;1;2559;297;1098;189;52
9;Toscana;45;Massa-Carrara;10;Massa;45010;2;14649;7118;7531;5748;6987;410;1166;338;3085;3521;192;185;135;578;613;616;653;762;857;933;1051;1147;1213;1151;1098;1032;691;797;1457;279;330;332;343;392;443;489;506;570;584;550;538;507;335;383;537;13946;1106;4335;4442;3061;906;96;6774;478;2125;2489;1271;383;28;6555;5597;750;3725;3234;399;6287;2452;1697;907;430;855;445;5513;1601;2828;1553;672;314;281;328;63;131;155;28;469;130;36;37;0;0;672;5561;723;27;721;2;516184;954;4004;782;5740;14646;1440;1554;1409;973;264;100;659;4281;4096;3495;601;1803;1417;275;297;447;606;555;681;452;309;128;20;712;2063;672;48;1955;1087;347;57;27;22;6501;1395;1904;164;32
9;Toscana;45;Massa-Carrara;10;Massa;45010;3;20313;9588;10725;8192;8914;607;2010;590;4364;4415;261;339;209;834;863;829;853;919;958;1159;1535;1600;1625;1449;1367;1346;1142;1239;2595;420;428;408;454;467;503;586;752;821;790;710;667;615;516;555;896;19318;2816;6670;5071;3491;1181;89;9084;1331;3258;2715;1272;476;32;8678;7679;779;4817;4345;387;9109;3515;1968;1330;667;1168;621;7522;2161;4643;2201;1130;496;471;559;100;235;227;34;799;198;56;77;0;0;1130;8406;1719;32;1714;5;807097;1411;6184;1086;8686;20044;2907;2351;1829;1210;274;115;738;4438;4292;3809;483;2055;1639;115;793;482;755;547;635;309;164;101;23;341;1764;1273;431;1841;937;541;277;127;86;10756;1101;2476;192;40
9;Toscana;45;Massa-Carrara;10;Massa;45010;4;13571;6522;7049;5169;6508;412;1144;338;2751;3254;198;181;138;539;549;535;624;673;691;796;980;1039;1190;997;943;903;794;803;1515;292;281;265;317;363;347;402;490;481;597;478;463;432;361;386;567;12922;1096;4193;3843;2792;904;94;6169;464;2095;2122;1124;338;26;5845;5095;603;3356;2999;301;6103;2328;1648;926;433;714;383;4731;1615;2815;1495;517;217;206;259;52;96;104;17;428;48;23;18;0;0;517;5241;1308;27;1305;3;517648;708;3953;785;5446;13535;1519;1455;1245;919;201;107;690;3459;3297;3031;266;1433;1504;94;239;18;285;354;795;713;444;138;45;602;1769;574;86;1748;745;316;124;58;40;6629;953;1887;175;16
9;Toscana;45;Massa-Carrara;10;Massa;45010;5;16250;7767;8483;6383;7446;524;1412;485;3401;3723;217;242;184;627;630;622;676;795;944;1028;1164;1267;1372;1216;1150;1128;946;929;1756;319;322;315;334;437;487;524;584;616;671;581;551;563;439;395;629;15489;1750;5316;4503;2960;903;57;7374;802;2620;2415;1162;358;17;7330;6410;749;4174;3727;366;7041;2637;1756;1022;482;867;464;5420;1957;3396;1660;1037;472;430;504;103;213;217;42;767;146;50;74;0;0;1037;6908;4869;37;4859;10;644706;1014;5008;1151;7173;16187;2549;1912;1456;947;228;81;518;5490;5268;4317;951;1842;2205;270;433;128;523;608;938;859;547;208;73;863;2650;616;188;2156;1077;516;298;190;80;12008;1748;1941;506;122
