CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
6;Friuli-Venezia Giulia;30;Udine;129;Udine;30129;0;526;241;285;236;231;13;38;8;105;118;7;7;4;21;37;32;25;35;28;45;31;42;47;46;32;28;25;16;36;9;15;19;9;14;12;26;14;13;22;27;15;14;11;8;13;497;44;138;162;103;41;9;228;19;67;83;38;18;3;241;214;19;128;119;6;195;70;53;31;10;27;18;206;90;84;41;43;21;21;18;4;10;9;2;29;8;3;3;0;0;43;200;30;7;27;3;20808;69;123;25;217;526;68;63;38;36;6;6;44;103;101;90;11;41;39;10;17;5;27;6;10;9;10;1;5;11;48;29;2;44;23;15;5;2;1;246;37;33;19;1
6;Friuli-Venezia Giulia;30;Udine;129;Udine;30129;1;18886;8347;10539;7973;7257;555;2155;946;3856;3615;251;314;311;741;629;598;668;819;1021;1165;1370;1484;1476;1333;1189;1079;1098;1103;3113;382;322;305;335;396;495;594;655;718;699;649;515;450;499;423;910;18008;4971;6250;3912;2106;707;62;7893;2370;2847;1702;629;323;22;8916;8118;644;4665;4298;310;8002;2673;1240;1132;532;1001;364;6750;2243;4629;1745;3070;1442;1310;1495;265;661;707;74;1624;792;132;520;2;0;3070;9490;2408;15;2288;120;1006143;2946;6114;917;10043;18413;5274;2549;1222;742;173;83;542;3223;3000;2512;488;1378;577;557;773;455;521;348;140;68;72;61;74;24;675;861;952;843;414;423;393;240;199;13710;652;1452;396;12
6;Friuli-Venezia Giulia;30;Udine;129;Udine;30129;2;20599;9681;10918;8299;8810;666;1906;918;4319;4420;321;289;332;799;794;734;825;951;1110;1279;1396;1598;1649;1471;1328;1390;1382;1307;2586;399;442;372;411;492;558;688;672;780;818;672;609;632;625;603;908;19663;3664;6845;5071;3104;923;56;9205;1698;3485;2509;1036;455;22;9497;8621;688;5067;4663;335;8775;3401;1452;1235;617;936;448;7224;2760;5152;2303;2661;1246;1169;1251;241;593;575;78;1799;577;141;142;0;2;2659;9813;1532;16;1456;76;983837;2797;6594;783;10174;20512;4373;2994;1532;948;240;87;563;3041;2915;2501;414;919;1321;261;293;387;502;441;329;210;131;103;105;60;1094;939;408;994;587;325;255;185;155;11691;756;1345;374;26
6;Friuli-Venezia Giulia;30;Udine;129;Udine;30129;3;14648;6897;7751;5810;6448;455;1318;617;3057;3236;185;200;219;631;605;570;597;677;785;876;1058;1192;1100;1033;893;1039;1022;930;1640;316;307;290;300;328;406;448;511;579;551;490;413;469;467;410;612;13887;1719;4695;3997;2684;746;46;6516;793;2422;2011;950;319;21;6572;5902;532;3509;3212;236;6270;2475;1202;824;400;690;293;5147;1946;3554;1757;1851;855;864;826;161;427;374;54;1134;562;81;74;0;0;1851;6691;850;16;836;14;641447;1974;4440;445;6859;14589;2576;2147;1182;680;210;64;403;2533;2438;2157;281;895;767;495;132;329;526;398;265;160;169;84;94;45;937;928;247;958;595;245;166;124;69;7607;464;1182;451;60
6;Friuli-Venezia Giulia;30;Udine;129;Udine;30129;4;20533;9821;10712;8437;8896;592;1768;840;4466;4458;265;305;327;949;859;889;903;1022;1113;1295;1609;1701;1794;1467;1255;1342;1143;1032;2160;462;466;452;480;510;576;670;803;849;851;736;601;595;539;460;771;19423;2840;7027;5257;3211;1032;56;9277;1329;3642;2641;1140;498;27;9853;9017;663;5342;4960;318;7983;3099;1438;1300;661;806;386;7782;3105;4439;2012;3158;1557;1467;1452;239;738;741;78;1963;784;121;289;0;1;3157;9223;1078;14;1037;41;926153;2084;6819;624;9527;20485;3691;2682;1683;1123;242;106;679;4177;4074;3431;643;1668;1285;478;233;415;887;704;423;242;215;183;129;145;1652;1253;381;1661;863;377;264;176;90;10666;1105;1738;551;37
6;Friuli-Venezia Giulia;30;Udine;129;Udine;30129;7;23095;10518;12577;9147;9995;677;2276;1000;4596;4964;277;345;336;924;939;878;836;918;1150;1335;1638;1966;1982;1553;1395;1469;1452;1550;3110;462;450;430;402;464;559;658;751;969;957;757;637;641;607;658;1116;21984;4709;7810;5049;3337;1049;30;9961;2173;3851;2357;1114;454;12;10810;10003;639;5620;5270;291;9544;3556;1507;1319;626;783;338;8507;3184;5935;2559;2325;1010;989;1117;219;452;493;65;1598;388;122;216;1;0;2325;11161;1761;44;1693;68;1137164;2527;8157;860;11544;23046;4921;3467;1793;1082;225;56;359;4676;4555;3960;595;2338;1170;452;358;400;870;1089;633;168;154;142;146;179;1977;1441;363;1663;1143;487;362;202;103;13263;1514;2025;391;30
6;Friuli-Venezia Giulia;31;Gorizia;7;Gorizia;31007;0;566;299;267;226;279;6;44;11;134;147;4;7;7;25;18;13;24;29;14;35;45;43;39;31;55;48;48;36;63;18;4;6;11;16;8;24;23;24;19;16;35;24;25;22;24;538;56;140;196;122;24;0;280;24;80;108;60;8;0;264;249;13;155;148;6;246;116;19;28;11;24;17;189;67;175;87;29;19;8;14;7;3;9;7;24;0;0;5;0;0;29;214;50;3;50;0;24023;9;190;24;223;565;63;58;55;26;12;9;57;343;316;214;102;86;123;5;6;4;44;24;32;51;29;14;10;12;83;111;8;165;39;7;0;3;0;295;169;37;8;0
6;Friuli-Venezia Giulia;31;Gorizia;7;Gorizia;31007;1;14869;7214;7655;5767;6621;426;1526;529;3164;3360;206;264;220;609;540;582;593;590;654;867;1081;1171;1207;1097;969;1072;940;990;1907;313;294;318;319;314;336;449;559;601;594;571;485;513;445;431;672;14159;1678;5205;4408;2236;620;12;6853;773;2622;2277;862;314;5;6648;6068;491;3655;3367;243;6490;2634;899;847;443;584;267;5304;1999;4160;1904;888;429;346;455;87;173;219;37;762;74;34;18;0;0;888;6630;1133;10;1130;3;636249;926;5404;436;6766;14630;2467;2036;1275;757;177;54;353;5161;4922;4003;919;2008;1546;449;466;670;725;615;563;361;234;203;166;262;2354;1174;213;2722;668;270;225;79;39;8126;1804;1649;497;53
6;Friuli-Venezia Giulia;31;Gorizia;7;Gorizia;31007;5;19777;9230;10547;7924;8167;716;2078;892;4092;4142;344;315;337;773;769;776;728;791;945;1144;1418;1515;1659;1386;1208;1285;1190;1316;2874;402;392;415;350;371;467;573;751;754;840;712;591;580;521;567;944;18840;3047;7006;5387;2449;881;70;8743;1398;3424;2619;877;393;32;8729;7763;806;4778;4305;413;8730;3243;1342;1049;488;937;428;6961;2222;5402;2299;1989;977;874;930;185;431;470;76;1509;238;52;188;2;0;1989;9601;1986;10;1970;16;896311;2608;6489;734;9832;19516;4371;2812;1473;895;204;77;502;4044;3923;3419;504;1716;1195;508;816;594;470;674;305;185;122;127;126;125;1501;1026;767;1448;663;455;456;277;120;13180;1517;1442;427;33
6;Friuli-Venezia Giulia;31;Gorizia;12;Monfalcone;31012;0;335;200;135;134;149;12;18;22;79;93;8;8;12;16;17;5;13;18;25;21;33;41;32;33;23;16;14;10;18;7;8;4;6;12;13;13;21;26;24;23;12;10;10;4;7;316;20;103;142;28;21;2;193;7;70;90;12;14;0;179;149;23;131;117;13;118;50;38;10;6;22;16;97;37;48;26;145;92;56;78;11;31;54;7;126;9;1;9;0;0;145;165;22;1;22;0;10796;65;90;15;170;335;81;46;25;6;9;3;18;41;39;30;9;6;2;22;0;0;1;20;7;0;1;1;0;16;13;1;0;13;7;1;2;1;6;223;7;16;7;0
