CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
20;Sardegna;90;Sassari;3;Alghero;90003;0;6380;3206;3174;2778;2974;167;349;112;1450;1525;98;74;59;235;253;229;266;384;389;437;492;443;502;515;551;550;412;293;429;108;129;112;148;184;195;220;254;215;236;264;268;302;214;164;193;6099;657;1780;2033;1160;409;60;3071;272;868;1141;590;179;21;2882;2389;391;1700;1435;212;2781;1157;745;411;188;364;200;2269;413;1261;748;137;63;57;51;29;26;24;13;115;9;9;1;1;2;135;2653;1183;46;1183;0;263879;209;2024;537;2770;6360;1004;674;536;431;93;32;211;2341;2329;2208;121;2047;106;55;0;11;533;153;203;435;510;280;83;1567;427;78;136;1707;172;133;85;103;8;4364;416;1402;348;42
20;Sardegna;90;Sassari;3;Alghero;90003;1;19948;9397;10551;8288;9186;442;1588;444;4196;4603;165;264;169;672;711;780;899;891;982;1125;1580;1717;1761;1475;1300;1420;1276;1191;2168;349;366;397;453;448;508;562;767;777;832;719;609;645;573;502;890;19139;2411;5783;5742;3720;1321;162;8977;1031;2753;2992;1629;505;67;8505;7128;1078;4678;3982;557;9280;3607;2207;1314;585;1169;642;7247;1348;4590;2341;338;118;130;163;45;58;50;10;214;11;33;80;0;0;338;8801;3090;16;3087;3;791074;1356;6699;922;8977;19843;3269;2355;1863;1245;200;45;295;2016;1999;1764;235;1117;566;81;3;41;196;480;387;391;172;56;38;72;453;572;667;210;213;368;452;394;127;12386;558;802;322;82
20;Sardegna;90;Sassari;3;Alghero;90003;2;14313;6810;7503;6285;6206;395;1059;368;3215;3088;185;169;153;460;501;537;617;690;793;890;1189;1188;1256;1168;1045;973;794;785;1427;231;257;254;326;356;400;423;576;606;581;570;516;447;378;346;543;13769;1768;4130;4226;2544;955;146;6539;705;2019;2245;1142;378;50;6422;5353;860;3540;3015;431;6393;2528;1518;906;452;994;538;4966;1109;2975;1502;276;89;74;158;44;30;48;11;147;23;26;80;0;0;276;6545;5511;25;5503;8;568714;1209;4724;781;6714;14265;2796;1619;1189;930;152;28;184;2279;2230;1943;287;1222;469;252;458;61;156;229;515;308;114;66;36;82;502;570;789;297;270;378;484;372;142;13176;540;964;370;69
20;Sardegna;90;Sassari;58;Porto Torres;90058;0;738;398;340;343;336;19;29;11;194;177;13;8;6;46;56;34;32;39;42;62;73;64;40;50;42;52;28;35;43;30;31;19;16;18;16;34;42;37;20;28;25;26;15;18;23;680;36;132;243;167;85;17;360;18;65;137;93;40;7;322;258;50;209;173;27;280;109;109;28;12;37;20;249;76;106;75;70;39;49;17;4;31;6;2;66;0;1;0;0;3;67;265;142;20;142;0;27196;23;201;68;292;738;91;74;55;52;13;7;61;535;404;351;53;321;23;7;4;25;27;37;52;97;93;12;4;229;113;4;5;304;28;9;6;3;1;475;54;255;39;3
20;Sardegna;90;Sassari;58;Porto Torres;90058;1;11584;5738;5846;4908;5562;294;626;194;2674;2782;123;78;81;579;538;483;532;643;718;924;1101;957;888;834;807;821;640;542;577;296;272;250;288;329;371;471;556;481;446;392;368;405;309;268;236;10901;664;2904;3876;2464;886;107;5395;249;1504;2023;1218;377;24;5198;4020;873;3094;2513;457;4786;1826;1754;704;347;576;328;3771;1416;1752;1129;93;27;46;43;4;15;10;2;53;10;10;20;0;0;93;4319;370;13;370;0;429953;906;3167;280;4353;11584;887;1192;1123;893;205;53;347;1307;1262;1185;77;1022;66;97;6;7;18;184;316;291;157;102;104;155;632;200;198;397;235;233;186;90;44;4751;498;372;290;25
20;Sardegna;90;Sassari;58;Porto Torres;90058;2;10069;4917;5152;4212;4674;293;715;175;2241;2350;136;111;79;423;456;425;452;499;600;703;861;843;809;756;609;640;549;492;952;225;238;221;222;254;304;338;439;415;411;370;299;311;263;240;367;9560;714;2571;3307;2063;796;109;4648;298;1302;1755;933;324;36;4361;3443;691;2618;2173;360;4404;1615;1446;599;262;522;266;3149;1171;1837;1072;110;43;44;61;5;19;21;3;59;18;8;25;0;0;110;4082;524;8;524;0;399898;690;3062;388;4146;10006;1214;1075;981;710;142;24;149;2091;2012;1673;339;1586;84;3;17;130;431;579;241;71;116;46;42;260;944;302;167;629;477;338;154;55;20;4730;558;584;477;54
20;Sardegna;90;Sassari;64;Sassari;90064;0;31884;16062;15822;14031;14926;884;1476;567;7515;7539;423;326;259;1535;1559;1632;1712;1786;1690;2069;2887;2837;2852;2478;2254;2070;1628;1280;1615;822;776;843;905;941;872;1051;1431;1387;1409;1227;1112;1016;884;646;740;30033;2944;8175;10777;5706;2209;222;15081;1241;4048;5825;2898;981;88;14689;12073;2008;8429;7093;1060;12469;5192;3453;2243;1087;1785;1135;14368;1564;4988;2879;247;80;78;133;36;30;36;14;147;37;22;41;0;0;247;11966;2836;31;2829;7;1260839;969;9555;1770;12294;31867;3046;3063;3004;2443;582;156;1001;11868;11225;9709;1516;7141;1081;1487;754;47;582;816;1631;2436;2198;810;435;4037;4691;866;115;7197;1552;622;218;83;37;15475;3111;5205;1221;172
20;Sardegna;90;Sassari;64;Sassari;90064;1;14366;6862;7504;6446;6047;465;1067;341;3371;3033;190;152;116;567;645;679;682;835;812;835;1154;1199;1392;1115;939;841;736;740;1195;296;329;352;354;425;419;445;561;569;686;541;432;396;347;287;423;13678;938;3444;4945;3127;1075;149;6503;375;1640;2595;1411;436;46;6396;4899;1079;3511;2694;594;6079;2374;1658;864;410;986;609;6072;412;2571;1299;80;16;32;42;6;7;8;1;55;9;6;10;0;0;80;5437;231;47;231;0;518446;1823;3411;345;5579;14244;1373;1564;1292;1019;244;87;571;712;699;650;49;154;484;12;61;1;10;71;172;156;92;59;28;79;177;106;288;189;51;71;125;120;94;5782;98;460;73;19
20;Sardegna;90;Sassari;64;Sassari;90064;2;14080;6538;7542;6362;5704;478;1146;390;3199;2844;194;168;133;589;610;590;645;735;777;877;1097;1215;1276;1133;938;881;733;658;1326;275;313;300;335;378;404;445;540;550;608;520;442;429;316;255;428;13375;1146;3463;4717;2913;990;146;6196;435;1660;2436;1254;374;37;6376;4923;1099;3393;2639;600;5915;2257;1512;838;400;963;556;5912;412;2602;1236;193;64;58;115;20;24;37;3;91;48;10;44;0;0;193;5993;365;25;363;2;492310;1769;3929;434;6132;14067;2081;1633;1276;897;190;55;354;996;967;851;116;458;135;258;67;23;205;273;84;63;93;25;18;84;227;163;377;175;67;124;214;166;105;6464;142;486;183;40
20;Sardegna;90;Sassari;64;Sassari;90064;3;16479;7516;8963;7138;7094;456;1323;468;3428;3523;185;228;152;587;652;648;680;742;737;939;1220;1350;1452;1227;1183;1128;1101;1015;1818;288;304;383;349;364;358;465;590;612;654;549;547;480;434;463;676;15783;4194;5508;3181;2001;845;54;7178;1858;2551;1583;831;338;17;7555;6578;736;3845;3369;354;7037;2696;1192;1347;630;736;397;7314;690;3762;1628;244;74;70;142;32;31;36;7;149;39;14;42;0;0;244;7304;952;20;950;2;769270;960;5897;606;7463;16340;2783;1960;1493;1015;179;33;203;1225;1213;1042;171;366;570;106;137;8;50;227;260;205;101;33;21;27;240;226;549;209;104;164;187;200;178;8979;564;334;121;23
20;Sardegna;90;Sassari;64;Sassari;90064;4;18307;8467;9840;8024;8028;454;1373;428;3900;3998;181;249;139;568;557;615;795;886;1015;1171;1486;1266;1370;1315;1450;1491;1343;1107;1872;303;321;295;398;449;511;571;744;619;599;597;588;642;611;487;732;17619;4356;6129;3898;2362;807;67;8089;1887;2923;1978;933;344;24;8287;7146;823;4221;3649;417;8280;3327;1431;1619;781;884;479;7832;726;4346;2036;245;73;76;127;42;35;34;4;130;39;40;36;0;0;245;7915;1004;15;960;44;828787;1011;6458;576;8045;18281;2776;2123;1644;1248;208;46;295;1738;1682;1302;380;413;582;307;145;43;105;229;217;148;271;84;60;56;418;247;581;454;136;117;172;225;198;10041;535;567;174;26
20;Sardegna;90;Sassari;64;Sassari;90064;5;13635;6452;7183;6464;4997;526;1215;433;3172;2581;249;253;197;491;494;470;571;683;765;883;1125;1161;1151;1079;938;822;702;682;1618;251;242;248;301;339;374;456;563;590;579;538;488;400;308;268;507;13052;2558;3509;3533;2356;937;159;6154;1120;1624;1894;1044;395;77;6253;5057;894;3398;2769;495;5927;2313;1131;964;463;1037;637;5428;467;2795;1157;1065;617;382;588;95;226;340;51;294;457;45;269;0;0;1065;6671;2124;42;2111;13;602357;1882;4249;772;6903;13471;3408;1580;1022;684;167;42;266;3342;3212;2655;557;2434;193;28;1071;761;446;143;141;51;33;2;7;289;789;920;657;939;502;575;398;166;75;10013;343;868;1063;381
20;Sardegna;90;Sassari;64;Sassari;90064;6;15031;7075;7956;6778;6489;402;1014;348;3366;3216;179;190;124;619;656;620;660;776;837;925;1248;1328;1253;1089;937;927;971;850;1335;296;347;327;323;408;436;433;585;647;586;492;445;414;413;379;544;14277;2720;4556;3780;2248;887;86;6706;1165;2194;1932;980;404;31;6829;5720;826;3588;3007;440;6307;2517;1292;1148;531;745;433;6652;615;3122;1509;316;125;167;128;21;79;43;3;188;17;16;93;0;2;314;6245;891;48;883;8;662829;949;4890;560;6399;15003;2133;1621;1358;973;257;57;377;3150;2912;1756;1156;987;562;207;179;20;99;290;382;365;292;78;51;341;812;281;322;897;336;187;107;98;131;7373;540;873;290;53
