CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
12;Lazio;56;Viterbo;59;Viterbo;56059;0;16075;8032;8043;6227;7957;434;1124;333;3389;4026;241;236;140;644;696;748;738;876;899;921;1196;1312;1263;1196;1085;1131;966;836;1568;338;343;366;365;476;447;493;588;666;663;591;532;563;489;431;681;15273;1881;4614;4340;3155;1160;123;7619;884;2377;2414;1451;442;51;7019;6454;395;4178;3902;184;6968;2807;1598;1051;487;810;437;6698;1012;3509;1845;723;318;321;346;56;134;163;21;539;42;49;91;1;1;722;6097;2253;14;2250;3;725887;560;4805;897;6262;15795;1678;1753;1302;1121;285;123;796;6514;6180;5572;608;2800;1843;929;707;592;758;484;757;1139;732;302;101;814;3457;1240;61;3863;1121;443;125;15;5;8545;1975;2697;779;121
12;Lazio;56;Viterbo;59;Viterbo;56059;1;18715;8738;9977;7756;7921;667;1682;689;3945;3936;296;302;259;835;729;684;753;949;1113;1492;1573;1480;1572;1195;1187;1135;970;984;2064;441;361;365;383;456;534;712;771;697;766;578;559;519;432;426;738;17738;2915;5768;4617;3167;1179;92;8226;1301;2771;2437;1250;439;28;8738;7723;698;4696;4240;316;7729;2875;1688;1157;517;1012;504;7753;1191;3872;1825;1763;756;722;924;117;341;380;35;1058;138;214;353;0;0;1763;8702;1869;20;1839;30;798499;2428;5693;763;8890;18609;3621;2413;1605;983;210;58;365;3514;3366;2599;767;1897;631;71;1467;99;350;114;179;207;105;38;40;43;641;1199;716;783;523;544;422;206;121;11756;1040;1289;251;19
12;Lazio;56;Viterbo;59;Viterbo;56059;4;16779;7962;8817;6745;7739;501;1240;554;3527;3849;208;207;171;803;856;765;760;814;873;1112;1453;1429;1374;1108;1066;1040;842;820;1664;423;429;413;407;437;432;518;686;676;684;521;498;477;359;367;635;15788;2634;5477;4163;2388;1070;56;7449;1178;2691;2161;957;445;17;7644;6937;523;4187;3878;220;6711;2510;1623;1138;552;725;363;7618;1080;3225;1575;935;409;387;470;78;200;187;22;626;63;65;181;0;0;935;6940;811;21;810;1;722152;1342;5204;532;7078;16713;2191;1948;1471;1198;211;59;366;2141;2078;1708;370;656;1016;36;46;434;103;244;319;314;153;60;35;91;569;606;442;635;295;250;266;156;106;7995;490;830;262;126
12;Lazio;56;Viterbo;59;Viterbo;56059;5;11640;5344;6296;4297;5478;347;1141;377;2191;2725;116;189;123;396;476;480;506;515;600;587;720;835;928;786;720;860;763;867;1601;193;252;253;265;249;292;294;363;381;422;359;330;402;313;365;611;11143;2317;3993;2426;1733;630;44;5095;1033;1936;1247;602;263;14;4784;4352;307;2526;2316;151;5504;2120;1086;892;413;474;232;4660;697;3052;1457;471;183;187;243;41;84;89;10;295;55;59;62;0;0;471;4995;283;10;278;5;527645;838;3895;345;5078;11563;1602;1552;1060;701;123;40;258;963;934;790;144;172;600;18;17;102;36;165;151;181;93;29;16;22;134;197;437;165;61;119;204;169;72;5722;589;180;21;0
12;Lazio;57;Rieti;59;Rieti;57059;0;7119;3529;3590;2698;3481;165;643;132;1478;1762;101;128;60;297;296;332;304;365;363;434;495;558;559;469;466;499;375;371;936;150;153;185;168;176;185;236;249;263;280;258;221;245;197;170;393;6762;715;2279;1662;1512;551;43;3347;318;1199;914;688;217;11;3101;2783;228;1742;1605;93;3093;1299;551;480;234;288;154;2856;637;1774;900;251;108;103;118;30;56;45;7;214;18;7;12;0;0;251;2820;2550;3;2542;8;287412;196;2239;451;2886;7105;911;718;541;521;140;55;351;3677;3351;2647;704;1904;549;194;1015;180;306;332;309;234;130;92;49;258;1669;635;85;1677;633;246;60;11;20;5373;1004;1223;385;35
12;Lazio;57;Rieti;59;Rieti;57059;1;11164;5090;6074;4459;4869;392;1099;345;2222;2403;170;175;120;426;433;454;528;545;513;622;828;818;904;800;691;686;650;711;1555;229;221;243;277;240;255;286;385;401;423;369;311;316;270;295;569;10639;2085;3947;2198;1743;617;49;4808;911;1872;1123;649;236;17;4876;4374;359;2525;2285;168;4975;1872;822;895;411;464;205;4414;899;2794;1239;676;264;257;340;79;121;128;15;515;81;23;57;0;0;676;4903;1799;15;1790;9;477783;1047;3469;482;4998;11082;1811;1402;943;636;158;48;304;2256;2154;1734;420;1266;318;150;935;141;242;224;95;50;20;19;8;28;520;739;447;524;338;386;283;147;56;7332;505;982;235;12
12;Lazio;57;Rieti;59;Rieti;57059;2;13165;6151;7014;4943;6396;360;1163;303;2524;3188;159;175;105;467;483;551;617;666;663;812;860;928;1004;907;905;1075;832;857;1538;230;261;260;321;321;332;408;398;450;475;408;412;496;385;384;610;12619;2003;4552;2908;2361;743;52;5876;865;2285;1500;911;298;17;5673;5054;441;2969;2691;201;5991;2431;987;1068;500;535;266;5182;1041;3401;1645;352;130;142;177;33;67;53;10;277;43;15;17;0;0;352;5344;1106;18;1104;2;534346;996;4014;421;5431;13154;1511;1550;1231;908;181;50;313;2114;2019;1576;443;605;908;63;144;66;386;269;297;208;122;60;24;117;658;475;326;495;374;282;229;132;64;6676;647;830;95;4
12;Lazio;57;Rieti;59;Rieti;57059;3;14739;7073;7666;6276;6767;382;904;410;3217;3388;143;180;145;647;698;715;919;793;763;920;1120;1297;1352;1116;928;858;721;682;1210;335;377;352;459;389;388;448;545;584;641;518;447;433;332;316;509;13963;2146;5207;3512;2135;893;70;6667;960;2563;1834;882;407;21;6954;6188;518;3676;3362;221;5725;2333;1081;1348;629;539;289;6425;1551;2757;1397;450;164;177;234;39;87;66;11;306;81;38;24;0;1;449;5712;1116;17;1089;27;578354;1074;4263;456;5793;14670;1500;1524;1333;1146;226;64;409;2241;2112;1647;465;656;885;106;166;92;148;180;374;233;232;119;103;69;626;562;390;570;330;255;317;115;60;7027;1045;495;96;11
12;Lazio;58;Roma;3;Albano Laziale;58003;0;11749;5777;5972;4933;5509;356;670;281;2612;2769;164;118;114;693;670;594;578;614;692;930;1044;1035;986;771;714;683;470;431;844;357;337;316;302;323;364;411;504;528;496;376;340;341;226;214;342;10933;896;3700;3443;1843;958;93;5355;375;1831;1874;833;418;24;5367;4708;485;3101;2803;230;4425;1666;1257;712;349;537;314;2716;3536;1919;974;749;359;303;405;41;168;176;15;633;50;31;35;0;0;749;4291;501;14;500;1;407693;449;3389;579;4417;11741;1026;1127;1040;916;217;91;592;1973;1877;1701;176;218;1382;101;8;39;252;533;395;215;127;110;22;184;865;508;144;677;439;357;144;54;30;4850;1143;492;58;8
12;Lazio;58;Roma;3;Albano Laziale;58003;1;13053;6103;6950;5546;5601;474;1032;400;2764;2812;217;172;138;570;571;580;579;659;616;750;1024;1128;1078;937;881;813;651;682;1534;282;297;294;309;347;316;363;505;532;514;446;421;386;295;281;515;12353;1912;4534;3089;1962;805;51;5743;936;2159;1573;736;326;13;5797;5230;400;3180;2896;201;5535;2050;1244;881;431;865;396;2691;3794;2545;1198;729;301;256;397;76;127;155;19;495;75;65;94;0;0;729;5365;854;16;849;5;496964;836;4090;575;5514;12748;1837;1509;1100;821;197;50;324;1791;1745;1556;189;516;956;84;266;161;303;196;204;194;103;35;94;138;600;489;329;447;375;325;234;109;66;6498;510;938;106;2
