CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;3;Aosta;7003;0;1807;923;884;774;809;45;114;65;445;409;22;23;24;84;106;88;89;99;88;97;136;166;177;119;133;131;83;75;136;43;52;53;51;53;50;47;65;74;96;60;69;70;42;45;53;1704;225;508;558;289;122;2;869;98;266;301;145;58;1;883;847;29;477;462;11;646;298;97;120;69;54;30;755;309;375;197;65;32;29;31;5;14;14;4;47;11;3;4;0;0;65;770;256;0;256;0;70942;104;591;77;772;1807;246;218;159;112;25;12;75;825;750;649;101;259;283;107;175;45;89;37;82;83;56;57;25;92;330;209;18;355;180;86;27;0;1;1178;109;512;23;5
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;3;Aosta;7003;1;17610;7974;9636;7132;6902;660;2032;884;3668;3445;263;316;282;670;638;652;683;810;877;931;1093;1365;1340;1229;1132;1202;1103;1188;2697;346;322;324;350;422;441;470;518;615;627;575;537;558;500;478;891;16808;2292;4600;5321;3384;1067;144;7560;1022;2263;2531;1249;455;40;7837;7253;469;4063;3791;221;7813;2919;1286;917;433;699;320;6813;1617;4911;2139;1671;711;716;799;156;352;303;56;839;562;176;94;0;0;1671;8575;1396;14;1394;2;707712;3434;4646;609;8689;17328;3718;2659;1281;785;190;56;359;1478;1379;999;380;606;376;17;369;155;251;119;43;33;25;2;2;20;127;270;582;117;91;165;239;170;217;10569;30;778;181;10
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;3;Aosta;7003;2;14685;6966;7719;5919;6458;471;1225;612;3110;3233;196;218;209;713;678;644;639;666;720;808;1075;1168;1167;1066;965;1040;851;865;1620;342;342;333;337;333;323;399;548;580;579;502;442;494;409;382;621;13816;2006;3978;4309;2567;876;80;6531;948;1896;2206;1075;382;24;6885;6490;333;3625;3434;162;5765;2324;988;857;405;482;222;6216;1684;3438;1690;918;366;403;435;80;166;180;20;502;264;106;46;0;0;918;6510;989;12;986;3;592308;1620;4479;484;6583;14661;2203;2070;1213;864;185;48;298;1962;1886;1516;370;394;973;149;109;110;230;371;216;222;140;74;44;102;490;479;445;426;331;332;181;145;101;7581;141;1290;82;3
